round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,420.0,10.0,110.02287155956037,842.9172551743735,1.0
2.0,400.0,9.0,170.1677990285325,898.826154805488,1.0
3.0,400.0,14.0,132.3739501696453,841.53303236404,1.0
4.0,400.0,16.0,141.6498699085516,834.051898714797,1.0
5.0,420.0,8.0,114.81467779296592,843.6221257758718,1.0
6.0,420.0,8.0,114.81467779296592,843.6221257758718,1.0
7.0,380.0,12.0,127.71681273170286,799.8235006785598,1.0
8.0,420.0,13.0,102.24970761453771,800.4153614302245,1.0
9.0,400.0,14.0,128.39310326785957,802.0153932112918,1.0
10.0,440.0,12.0,105.23067618007705,817.6145853966549,1.0
