round,longest_vehicle_depart,round_peroid,scheduled_number
1.0,728.4542586750789,831.5701194325969,19.08832807570978
2.0,686.5558912386707,786.6336755487332,19.533232628398792
3.0,669.6377952755905,744.958582703374,18.866141732283463
4.0,817.2903225806451,825.8598309942223,19.308064516129033
5.0,712.4580152671756,831.770492749159,19.621374045801527
6.0,640.2578796561604,776.1217508890446,19.441260744985673
7.0,786.0103626943005,934.2800033254996,16.27461139896373
8.0,637.9970972423803,710.8602322633361,20.0
9.0,661.9943820224719,809.4682865701789,19.609550561797754
10.0,683.9363241678726,829.5699354587217,19.929088277858177
