round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,935.628559767425,18.0,48.96752811882508,935.6285597674249,2.0
2.0,971.092516033428,17.0,37.954146834847734,971.0925160334281,2.0
3.0,770.7541106167673,20.0,36.79981291495963,827.8238184918239,2.0
4.0,813.9082431962338,20.0,100.01487568073105,819.0927464634206,2.0
5.0,965.2717485087117,15.0,27.628911085722038,965.2717485087117,2.0
6.0,965.2717485087117,15.0,27.628911085722038,965.2717485087117,2.0
7.0,753.0132357824598,20.0,47.86284367156943,856.8261616336865,2.0
8.0,938.0919803722746,20.0,18.09690844414215,947.7525880001585,2.0
9.0,841.3635962903016,18.0,55.711801207883354,841.3635962903016,2.0
10.0,933.4791181230918,18.0,23.068142918983575,933.4791181230918,2.0
