episode,timestep,reward
3,400,22.1284
10,1200,28.8644
13,1600,25.7316
23,2800,28.8565
26,3200,29.1633
33,4000,30.5288
43,5200,28.9169
53,6400,26.8712
56,6800,29.138
66,8000,26.3112
69,8400,27.6612
76,9200,29.8482
79,9600,25.9306
90,10800,30.4748
97,11600,29.6525
100,12000,29.8746
110,13200,23.6877
113,13600,27.1764
116,14000,28.1453
126,15200,21.8234
129,15600,27.1455
139,16800,27.8777
146,17600,28.5857
150,18000,33.0282
174,20400,31.7569
178,20800,32.2986
195,22400,31.8635
199,22800,32.5197
203,23200,32.7376
207,23600,32.7964
220,24800,32.9864
224,25200,33.6668
228,25600,33.5181
232,26000,33.5666
253,28000,32.8867
266,29200,31.1582
279,30400,32.6815
288,31200,33.6608
297,32000,31.8521
306,32800,32.9342
315,33600,33.1248
324,34400,33.1721
333,35200,33.0675
337,35600,33.8313
346,36400,33.0756
364,38000,32.6852
382,39600,33.5876
391,40400,32.6461
395,40800,32.6392
418,42800,33.4428
427,43600,33.2813
449,45600,33.3454
458,46400,33.1257
467,47200,32.9109
476,48000,33.6949
485,48800,33.6786
494,49600,33.8544
503,50400,32.6608
512,51200,32.6188
525,52400,33.889
534,53200,33.399
547,54400,33.2531
556,55200,33.4107
565,56000,33.7594
578,57200,33.8241
587,58000,33.7352
596,58800,34.0178
609,60000,33.6901
