episode,timestep,reward
3,400,7.6681
10,1200,16.9838
13,1600,20.4069
20,2400,18.4102
23,2800,13.1429
30,3600,21.5112
37,4400,26.7631
44,5200,31.3546
51,6000,29.1346
55,6400,29.5802
62,7200,31.3601
66,7600,30.244
73,8400,28.0846
80,9200,22.7632
87,10000,27.5336
94,10800,30.9907
98,11200,33.6654
115,12800,33.4391
119,13200,34.3722
123,13600,32.6224
136,14800,33.2406
140,15200,33.2847
153,16400,32.7686
157,16800,34.8502
170,18000,33.3353
179,18800,33.4804
183,19200,32.1488
187,19600,32.379
196,20400,32.7181
200,20800,32.1086
209,21600,32.9053
213,22000,33.0468
226,23200,32.6282
239,24400,32.8124
248,25200,33.1275
261,26400,34.0759
274,27600,34.3117
294,29600,31.3226
298,30000,31.8492
302,30400,33.5072
306,30800,30.313
310,31200,30.7722
314,31600,34.5591
331,33200,31.9944
335,33600,34.4111
348,34800,31.9705
361,36000,32.6739
365,36400,34.3038
378,37600,34.2042
391,38800,33.5378
395,39200,31.6914
399,39600,33.6277
416,41200,33.1511
420,41600,33.3117
424,42000,31.0176
428,42400,32.5315
432,42800,34.3827
453,44800,32.7285
457,45200,32.0716
461,45600,33.1795
465,46000,32.3616
469,46400,31.5924
473,46800,30.8659
477,47200,31.5232
510,50400,31.6332
514,50800,32.8386
518,51200,33.6958
522,51600,31.6072
526,52000,32.6106
530,52400,30.7703
534,52800,31.8043
538,53200,30.688
542,53600,32.0942
546,54000,32.2792
550,54400,31.4058
554,54800,32.8684
583,57600,31.8925
587,58000,31.0919
591,58400,32.1883
595,58800,32.6583
608,60000,32.3217
