episode,timestep,reward
1,224,5.0472
4,672,9.1366
5,896,6.0605
8,1344,9.4624
9,1568,11.1122
11,1792,4.5506
12,2016,13.17
15,2464,8.4222
16,2688,17.251
19,3136,11.8322
22,3584,7.4343
23,3808,18.3375
26,4256,15.3034
27,4480,13.3448
29,4704,18.7878
30,4928,17.3025
33,5376,21.9927
34,5600,22.3266
37,6048,26.0336
40,6496,31.061
41,6720,33.3751
44,7168,30.41
45,7392,39.4496
47,7616,38.482
48,7840,38.4973
51,8288,39.4924
52,8512,41.441
55,8960,38.4352
56,9184,38.4263
58,9408,39.4947
59,9632,42.4552
62,10080,41.8027
63,10304,36.4166
66,10752,39.4524
69,11200,40.7853
70,11424,40.4339
73,11872,45.4996
74,12096,43.478
76,12320,41.9526
77,12544,50.5428
80,12992,45.5006
81,13216,49.52
84,13664,48.5252
87,14112,48.1867
88,14336,49.5073
91,14784,50.2082
92,15008,49.5352
94,15232,49.0617
95,15456,49.5421
98,15904,48.8607
99,16128,44.4578
102,16576,49.1832
105,17024,53.2342
106,17248,49.5032
109,17696,50.1991
110,17920,49.5105
113,18368,50.2141
116,18816,50.2014
117,19040,50.5243
120,19488,51.9071
121,19712,56.6326
123,19936,50.0342
124,20160,49.5315
127,20608,50.2072
128,20832,54.619
131,21280,50.8858
134,21728,49.867
135,21952,49.5454
138,22400,51.9069
139,22624,52.5833
141,22848,49.5314
142,23072,51.5552
145,23520,52.2247
146,23744,50.5684
149,24192,50.9057
152,24640,48.5221
153,24864,54.5854
156,25312,50.8729
157,25536,52.5616
159,25760,51.0633
160,25984,48.5166
163,26432,51.5462
164,26656,48.4967
167,27104,54.5941
168,27328,52.5698
170,27552,50.5627
171,27776,52.5881
174,28224,53.5946
175,28448,51.5532
178,28896,49.8847
181,29344,54.9192
182,29568,49.5519
185,30016,53.2454
186,30240,52.5622
188,30464,52.5908
189,30688,50.5742
192,31136,52.9029
193,31360,53.5651
196,31808,53.9333
199,32256,54.2631
200,32480,55.5986
203,32928,52.5654
204,33152,53.6046
206,33376,54.5838
207,33600,51.5887
210,34048,52.9087
211,34272,50.5401
214,34720,55.2733
217,35168,53.9019
218,35392,55.5993
221,35840,54.2464
222,36064,50.553
225,36512,53.9232
228,36960,54.921
229,37184,56.6081
232,37632,54.5958
233,37856,54.5938
235,38080,55.0937
236,38304,56.6061
239,38752,54.2465
240,38976,54.624
243,39424,52.5639
246,39872,55.2902
247,40096,53.5886
250,40544,55.9398
251,40768,57.6209
253,40992,57.1152
254,41216,54.5833
257,41664,53.5699
258,41888,54.5793
261,42336,52.9061
264,42784,51.8849
265,43008,55.5984
268,43456,52.9168
269,43680,50.5129
271,43904,55.0877
272,44128,53.5708
275,44576,55.5905
276,44800,53.6096
279,45248,54.5884
280,45472,53.5817
282,45696,54.086
283,45920,54.5844
286,46368,54.9338
287,46592,51.5666
290,47040,54.6001
293,47488,54.9352
294,47712,52.5809
297,48160,54.2425
298,48384,55.5957
300,48608,56.1227
301,48832,54.6103
304,49280,55.29
305,49504,52.6041
308,49952,55.2633
311,50400,52.5747
312,50624,54.6127
315,51072,51.8921
316,51296,54.5935
318,51520,53.1128
319,51744,54.5877
322,52192,55.6283
323,52416,53.6186
326,52864,53.5754
