episode,timestep,reward
687,111328,14.3333
688,111552,10.0
691,112000,11.6667
694,112448,10.3333
695,112672,8.0
698,113120,10.0
699,113344,9.0
701,113568,12.0
702,113792,11.0
705,114240,10.6667
706,114464,9.0
709,114912,9.3333
712,115360,11.3333
713,115584,15.0
716,116032,12.6667
717,116256,12.0
719,116480,12.5
720,116704,10.0
723,117152,11.6667
724,117376,13.0
727,117824,10.3333
728,118048,9.0
730,118272,9.0
731,118496,11.0
734,118944,11.6667
735,119168,12.0
738,119616,11.3333
741,120064,12.6667
742,120288,10.0
745,120736,11.0
746,120960,11.0
748,121184,10.0
749,121408,10.0
752,121856,11.6667
753,122080,10.0
756,122528,10.6667
759,122976,10.0
760,123200,10.0
763,123648,11.0
764,123872,13.0
766,124096,11.5
767,124320,11.0
770,124768,11.3333
771,124992,14.0
774,125440,11.6667
777,125888,9.3333
778,126112,13.0
781,126560,11.0
782,126784,8.0
785,127232,9.6667
788,127680,11.3333
789,127904,12.0
792,128352,13.0
793,128576,13.0
795,128800,10.5
796,129024,12.0
799,129472,9.3333
800,129696,11.0
803,130144,12.3333
806,130592,12.3333
807,130816,10.0
810,131264,11.6667
811,131488,10.0
813,131712,11.0
814,131936,15.0
817,132384,11.6667
818,132608,10.0
821,133056,10.0
824,133504,11.3333
825,133728,11.0
828,134176,9.3333
829,134400,12.0
831,134624,11.0
832,134848,13.0
835,135296,12.6667
836,135520,12.0
839,135968,12.0
840,136192,11.0
842,136416,12.0
843,136640,13.0
846,137088,13.3333
847,137312,16.0
850,137760,11.3333
853,138208,11.0
854,138432,13.0
857,138880,11.3333
858,139104,13.0
860,139328,11.5
861,139552,13.0
864,140000,13.3333
865,140224,14.0
868,140672,12.0
871,141120,12.0
872,141344,11.0
875,141792,11.3333
876,142016,13.0
878,142240,13.0
879,142464,15.0
882,142912,11.3333
883,143136,8.0
886,143584,12.0
889,144032,12.6667
890,144256,13.0
893,144704,12.3333
894,144928,14.0
897,145376,10.3333
900,145824,12.6667
901,146048,13.0
904,146496,11.0
905,146720,13.0
907,146944,13.0
908,147168,14.0
911,147616,12.6667
912,147840,15.0
915,148288,12.6667
918,148736,12.0
919,148960,12.0
922,149408,13.6667
923,149632,12.0
925,149856,13.0
926,150080,10.0
929,150528,13.0
930,150752,10.0
933,151200,11.0
936,151648,12.0
937,151872,11.0
940,152320,11.6667
941,152544,12.0
943,152768,12.5
944,152992,10.0
947,153440,11.0
948,153664,10.0
951,154112,12.3333
952,154336,10.0
954,154560,12.0
955,154784,15.0
958,155232,9.6667
959,155456,12.0
962,155904,12.3333
965,156352,12.3333
966,156576,13.0
969,157024,12.0
970,157248,13.0
972,157472,12.0
973,157696,11.0
976,158144,12.0
977,158368,15.0
980,158816,13.3333
983,159264,13.3333
984,159488,16.0
987,159936,12.6667
988,160160,13.0
990,160384,12.0
991,160608,13.0
994,161056,14.6667
995,161280,8.0
998,161728,13.3333
1001,162176,10.0
1002,162400,12.0
1005,162848,13.0
1006,163072,13.0
1009,163520,13.3333
1012,163968,11.6667
1013,164192,8.0
1016,164640,11.6667
1017,164864,10.0
1019,165088,10.5
1020,165312,14.0
1023,165760,13.3333
1024,165984,9.0
1027,166432,11.6667
1030,166880,12.6667
1031,167104,10.0
1034,167552,12.0
1035,167776,13.0
1037,168000,9.5
1038,168224,13.0
1041,168672,12.6667
1042,168896,17.0
1045,169344,11.6667
1048,169792,11.3333
1049,170016,13.0
1052,170464,15.6667
1053,170688,12.0
1055,170912,15.0
1056,171136,14.0
1059,171584,11.6667
1060,171808,13.0
1063,172256,13.3333
1064,172480,10.0
1066,172704,16.5
1067,172928,15.0
1070,173376,12.0
1071,173600,12.0
1074,174048,11.0
1077,174496,12.0
1078,174720,13.0
1081,175168,12.3333
1082,175392,12.0
1084,175616,13.5
1085,175840,13.0
1088,176288,11.6667
1089,176512,11.0
1092,176960,13.6667
1095,177408,14.0
1096,177632,16.0
1099,178080,12.6667
1100,178304,12.0
1102,178528,13.0
1103,178752,15.0
1106,179200,12.0
1107,179424,13.0
1110,179872,11.0
1113,180320,12.3333
1114,180544,13.0
1117,180992,11.3333
1118,181216,15.0
1121,181664,11.6667
1124,182112,14.3333
1125,182336,14.0
1128,182784,12.3333
1129,183008,13.0
1131,183232,12.5
1132,183456,12.0
1135,183904,11.6667
1136,184128,10.0
1139,184576,14.0
1142,185024,13.6667
1143,185248,15.0
1146,185696,14.0
1147,185920,12.0
1149,186144,12.0
1150,186368,11.0
1153,186816,12.3333
1154,187040,17.0
1157,187488,12.3333
1160,187936,13.6667
1161,188160,13.0
1164,188608,12.0
1165,188832,12.0
1167,189056,14.5
1168,189280,13.0
1171,189728,13.3333
1172,189952,13.0
1175,190400,12.3333
1176,190624,12.0
1178,190848,14.5
1179,191072,13.0
1182,191520,13.3333
1183,191744,12.0
1186,192192,13.3333
1189,192640,12.0
1190,192864,12.0
1193,193312,14.0
1194,193536,15.0
1196,193760,13.0
