episode,timestep,reward
1,224,5.0472
4,672,9.1366
5,896,6.0605
8,1344,9.4624
9,1568,11.1122
11,1792,4.5506
12,2016,13.17
15,2464,8.4222
16,2688,17.251
19,3136,11.8322
22,3584,7.4343
23,3808,18.3375
26,4256,15.3034
27,4480,13.3448
29,4704,18.7878
30,4928,17.3025
33,5376,21.9927
34,5600,22.3266
37,6048,26.0336
40,6496,31.061
41,6720,33.3751
44,7168,30.41
45,7392,39.4496
47,7616,38.482
48,7840,38.4973
51,8288,39.4924
52,8512,41.441
55,8960,38.4352
56,9184,38.4263
58,9408,39.4947
59,9632,42.4552
62,10080,41.8027
63,10304,36.4166
66,10752,39.4524
69,11200,40.7853
70,11424,40.4339
73,11872,45.4996
74,12096,43.478
76,12320,41.9526
77,12544,50.5428
80,12992,45.5006
81,13216,49.52
84,13664,48.5252
87,14112,48.1867
88,14336,49.5073
91,14784,50.2082
92,15008,49.5352
94,15232,49.0617
95,15456,49.5421
98,15904,48.8607
99,16128,44.4578
102,16576,49.1832
105,17024,53.2342
106,17248,49.5032
109,17696,50.1991
110,17920,49.5105
113,18368,50.2141
116,18816,50.2014
117,19040,50.5243
120,19488,51.9071
121,19712,56.6326
123,19936,50.0342
124,20160,49.5315
127,20608,50.2072
128,20832,54.619
131,21280,50.8858
134,21728,49.867
135,21952,49.5454
138,22400,51.9069
139,22624,52.5833
141,22848,49.5314
142,23072,51.5552
145,23520,52.2247
146,23744,50.5684
149,24192,50.9057
152,24640,48.5221
153,24864,54.5854
156,25312,50.8729
157,25536,52.5616
159,25760,51.0633
160,25984,48.5166
163,26432,51.5462
164,26656,48.4967
167,27104,54.5941
168,27328,52.5698
170,27552,50.5627
171,27776,52.5881
174,28224,53.5946
175,28448,51.5532
178,28896,49.8847
181,29344,54.9192
182,29568,49.5519
185,30016,53.2454
186,30240,52.5622
188,30464,52.5908
189,30688,50.5742
192,31136,52.9029
193,31360,53.5651
196,31808,53.9333
199,32256,54.2631
200,32480,55.5986
203,32928,52.5654
204,33152,53.6046
206,33376,54.5838
207,33600,51.5887
210,34048,52.9087
211,34272,50.5401
214,34720,55.2733
217,35168,53.9019
218,35392,55.5993
221,35840,54.2464
222,36064,50.553
225,36512,53.9232
228,36960,54.921
229,37184,56.6081
232,37632,54.5958
233,37856,54.5938
235,38080,55.0937
236,38304,56.6061
239,38752,54.2465
240,38976,54.624
243,39424,52.5639
246,39872,55.2902
247,40096,53.5886
250,40544,55.9398
251,40768,57.6209
253,40992,57.1152
254,41216,54.5833
257,41664,53.5699
258,41888,54.5793
261,42336,52.9061
264,42784,51.8849
265,43008,55.5984
268,43456,52.9168
269,43680,50.5129
271,43904,55.0877
272,44128,53.5708
275,44576,55.5905
276,44800,53.6096
279,45248,54.5884
280,45472,53.5817
282,45696,54.086
283,45920,54.5844
286,46368,54.9338
287,46592,51.5666
290,47040,54.6001
293,47488,54.9352
294,47712,52.5809
297,48160,54.2425
298,48384,55.5957
300,48608,56.1227
301,48832,54.6103
304,49280,55.29
305,49504,52.6041
308,49952,55.2633
311,50400,52.5747
312,50624,54.6127
315,51072,51.8921
316,51296,54.5935
318,51520,53.1128
319,51744,54.5877
322,52192,55.6283
323,52416,53.6186
326,52864,53.5754
329,53312,54.2726
330,53536,53.5773
333,53984,52.9171
334,54208,51.5851
337,54656,52.5704
340,55104,52.9293
341,55328,52.5822
344,55776,56.6219
345,56000,51.6002
347,56224,54.5915
348,56448,51.5511
351,56896,55.6164
352,57120,57.6505
355,57568,55.9501
358,58016,52.2227
359,58240,57.6512
362,58688,53.253
363,58912,55.594
365,59136,55.6038
366,59360,56.6343
369,59808,55.6063
370,60032,55.5931
373,60480,52.9016
376,60928,54.5902
377,61152,55.5927
380,61600,54.2698
381,61824,55.5927
383,62048,56.0986
384,62272,51.5707
387,62720,54.9398
388,62944,54.6071
391,63392,55.2584
392,63616,55.5927
394,63840,54.5846
395,64064,51.5514
398,64512,55.2595
399,64736,52.5609
402,65184,53.5715
405,65632,55.2661
406,65856,55.5927
409,66304,55.2566
410,66528,54.6129
412,66752,53.5771
413,66976,55.5927
416,67424,54.5974
417,67648,55.5927
420,68096,55.2598
423,68544,55.5931
424,68768,55.5927
427,69216,55.9293
428,69440,53.578
430,69664,55.5927
431,69888,55.5927
434,70336,55.5927
435,70560,55.5927
438,71008,54.9208
441,71456,55.9333
442,71680,55.5927
445,72128,55.9304
446,72352,55.5927
449,72800,55.5927
452,73248,55.2563
453,73472,53.5769
456,73920,55.5927
457,74144,55.5927
459,74368,55.6066
460,74592,55.5927
463,75040,55.2554
464,75264,55.5927
467,75712,54.5821
470,76160,53.5734
471,76384,55.5927
474,76832,54.5776
475,77056,55.5927
477,77280,55.5927
478,77504,55.5927
481,77952,55.5927
482,78176,55.5927
485,78624,53.5722
488,79072,53.9102
489,79296,53.5767
492,79744,54.9251
493,79968,55.5927
495,80192,55.5927
496,80416,55.5927
499,80864,55.6036
500,81088,55.5927
503,81536,54.5993
504,81760,53.5715
506,81984,55.5927
507,82208,55.5927
510,82656,55.5927
511,82880,55.5927
514,83328,55.2669
517,83776,55.5927
518,84000,55.5978
521,84448,55.5935
522,84672,55.5931
524,84896,55.5927
525,85120,55.5927
528,85568,55.5927
529,85792,55.5927
532,86240,55.5927
535,86688,55.2554
536,86912,55.5927
539,87360,55.9307
540,87584,55.5927
542,87808,54.0768
543,88032,55.5927
546,88480,55.5928
547,88704,53.5769
550,89152,55.2549
553,89600,55.9308
554,89824,55.5927
557,90272,55.6026
558,90496,53.5769
561,90944,55.2554
564,91392,56.2725
565,91616,55.5927
568,92064,54.5825
569,92288,55.5927
571,92512,56.0996
572,92736,55.5927
575,93184,55.5937
576,93408,55.5927
579,93856,55.9459
582,94304,55.277
583,94528,55.5927
586,94976,54.9144
587,95200,55.5927
589,95424,55.5918
590,95648,55.5927
593,96096,55.5927
594,96320,55.5927
597,96768,55.2678
600,97216,55.5927
601,97440,55.5927
604,97888,53.9102
605,98112,53.5856
607,98336,55.0868
608,98560,54.5809
611,99008,55.5927
612,99232,54.5809
615,99680,55.9291
616,99904,54.6129
618,100128,55.5927
619,100352,55.5927
622,100800,53.9062
623,101024,56.6123
626,101472,53.9188
629,101920,54.2448
630,102144,55.5927
633,102592,55.5927
634,102816,54.5621
636,103040,55.5927
