episode,timestep,reward
641,103936,54.3617
644,104384,53.6912
647,104832,54.3617
648,105056,54.3617
651,105504,54.0259
652,105728,54.3617
654,105952,54.3617
655,106176,54.3617
658,106624,54.3617
659,106848,53.3601
662,107296,54.3617
665,107744,54.0259
666,107968,54.3617
669,108416,54.3629
670,108640,54.3617
673,109088,54.3617
676,109536,54.0259
677,109760,54.3617
680,110208,54.3617
681,110432,54.3617
683,110656,54.3617
684,110880,54.3617
687,111328,54.027
688,111552,53.3529
691,112000,54.3617
694,112448,54.6955
695,112672,54.3617
698,113120,54.3617
699,113344,54.3617
701,113568,54.3617
702,113792,54.3617
705,114240,54.3617
706,114464,54.3617
709,114912,54.0275
712,115360,54.0256
713,115584,54.3617
716,116032,54.0263
717,116256,54.3617
719,116480,54.3617
720,116704,54.3617
723,117152,54.0255
724,117376,53.3561
727,117824,54.3617
728,118048,54.3617
730,118272,54.8658
731,118496,52.3488
734,118944,54.3617
735,119168,54.3617
738,119616,54.3616
741,120064,54.3617
742,120288,54.3617
745,120736,54.3617
746,120960,54.3614
748,121184,54.3617
749,121408,54.3617
752,121856,54.0256
753,122080,54.3617
756,122528,54.0285
759,122976,54.0257
760,123200,54.3617
763,123648,54.0264
764,123872,54.3617
766,124096,54.3617
767,124320,54.3617
770,124768,54.0263
771,124992,54.3617
774,125440,54.3617
777,125888,54.3617
778,126112,54.3617
781,126560,54.3617
782,126784,54.3617
785,127232,53.6917
788,127680,54.0254
789,127904,54.3617
792,128352,54.3626
793,128576,53.3544
795,128800,54.3617
796,129024,53.3544
799,129472,54.3617
800,129696,54.3617
803,130144,54.3617
806,130592,54.3617
807,130816,54.3617
810,131264,54.3617
811,131488,54.3617
813,131712,54.3635
814,131936,54.3617
817,132384,54.3617
818,132608,54.3617
821,133056,54.3617
824,133504,54.0278
825,133728,54.3617
828,134176,54.3617
829,134400,54.3617
831,134624,54.3617
832,134848,53.3555
835,135296,54.3617
836,135520,54.3617
839,135968,54.0278
840,136192,54.3617
842,136416,54.3617
843,136640,54.3617
846,137088,54.3619
847,137312,54.3617
850,137760,54.3617
853,138208,54.3611
854,138432,54.3617
857,138880,54.3617
858,139104,54.3617
860,139328,54.362
861,139552,52.3488
864,140000,54.0259
865,140224,54.3617
868,140672,54.3617
871,141120,54.3617
872,141344,54.3617
875,141792,54.3617
876,142016,54.3617
878,142240,54.3617
879,142464,54.3617
882,142912,54.3617
883,143136,54.3617
886,143584,54.3617
889,144032,54.6978
890,144256,54.3617
893,144704,54.3617
894,144928,54.3617
897,145376,54.3617
900,145824,54.3617
901,146048,53.3544
904,146496,54.3617
905,146720,54.3617
907,146944,54.3617
908,147168,54.3617
911,147616,54.3617
912,147840,53.3544
915,148288,54.3617
918,148736,54.3617
919,148960,54.3617
922,149408,54.0258
923,149632,54.3617
925,149856,54.3617
926,150080,54.3617
929,150528,54.3617
930,150752,54.3617
933,151200,54.3617
936,151648,54.3617
937,151872,54.363
940,152320,54.027
941,152544,54.3617
943,152768,54.3617
944,152992,54.3617
947,153440,54.3608
948,153664,54.3617
951,154112,54.3626
952,154336,54.3617
954,154560,54.3617
955,154784,54.3617
958,155232,54.3617
959,155456,54.3617
962,155904,54.3617
965,156352,54.3617
966,156576,54.3617
969,157024,54.0259
970,157248,54.3617
972,157472,54.3617
973,157696,54.3617
976,158144,54.3617
977,158368,54.3617
980,158816,54.3617
983,159264,54.3617
984,159488,54.3617
987,159936,54.3617
988,160160,54.3617
990,160384,54.3617
991,160608,54.3617
994,161056,54.3617
995,161280,54.3617
998,161728,54.3617
1001,162176,54.3617
1002,162400,54.3617
1005,162848,54.0256
1006,163072,54.3617
1009,163520,54.3616
1012,163968,54.3617
1013,164192,54.3617
1016,164640,54.3617
1017,164864,54.3617
1019,165088,54.8624
1020,165312,54.3617
1023,165760,54.3617
1024,165984,54.3617
1027,166432,54.3617
1030,166880,54.3617
1031,167104,54.3617
1034,167552,54.3611
1035,167776,54.3617
1037,168000,54.3617
1038,168224,54.3617
1041,168672,54.3617
1042,168896,53.3544
1045,169344,54.3617
1048,169792,54.3617
1049,170016,54.3617
1052,170464,54.3621
1053,170688,55.3684
1055,170912,54.3617
1056,171136,54.3617
1059,171584,54.3617
1060,171808,53.3557
1063,172256,54.3617
1064,172480,54.3617
1066,172704,54.3617
1067,172928,54.3617
1070,173376,54.3617
1071,173600,54.3617
1074,174048,54.3617
1077,174496,54.3617
1078,174720,55.363
1081,175168,54.3617
1082,175392,54.3617
1084,175616,54.3617
1085,175840,54.3617
1088,176288,54.0259
1089,176512,54.3617
1092,176960,54.3617
1095,177408,54.3626
1096,177632,54.3617
1099,178080,54.3617
1100,178304,54.3617
1102,178528,54.3617
1103,178752,54.3617
1106,179200,54.3624
1107,179424,54.3617
1110,179872,54.3617
1113,180320,54.3617
1114,180544,54.3617
1117,180992,54.3595
1118,181216,54.3617
1121,181664,54.3617
1124,182112,54.3617
1125,182336,54.3617
1128,182784,54.3617
1129,183008,54.3617
1131,183232,54.3617
1132,183456,54.3617
1135,183904,54.0264
1136,184128,54.3617
1139,184576,54.0259
1142,185024,54.3617
1143,185248,53.3544
1146,185696,54.3617
1147,185920,54.3617
1149,186144,54.3617
1150,186368,53.3529
1153,186816,54.3617
1154,187040,54.3617
1157,187488,54.3617
1160,187936,54.3617
1161,188160,53.3535
1164,188608,54.6955
1165,188832,54.3552
1167,189056,54.3617
1168,189280,54.3617
1171,189728,54.3617
1172,189952,54.3617
1175,190400,54.3617
1176,190624,54.3617
1178,190848,54.3617
1179,191072,54.3617
1182,191520,54.3619
1183,191744,54.3617
1186,192192,54.3617
1189,192640,54.3617
1190,192864,54.3617
1193,193312,54.3617
1194,193536,54.3617
1196,193760,54.3617
1197,193984,53.3557
1200,194432,54.3617
1201,194656,54.3617
1204,195104,54.3636
1207,195552,54.3617
1208,195776,54.3617
1211,196224,54.3617
1212,196448,54.3617
1214,196672,54.3617
1215,196896,54.3617
1218,197344,54.0264
1219,197568,54.3617
1222,198016,54.3617
1225,198464,54.3617
1226,198688,54.3617
1229,199136,54.0254
1230,199360,54.3617
1233,199808,54.3617
1236,200256,54.3617
1237,200480,54.3617
1240,200928,54.3617
1241,201152,54.3617
1243,201376,54.3617
1244,201600,54.3617
1247,202048,54.3617
1248,202272,54.3617
1251,202720,54.3617
1254,203168,54.3617
1255,203392,54.3617
1258,203840,54.3617
1259,204064,54.3617
1261,204288,54.3617
1262,204512,54.3617
1265,204960,54.3617
1266,205184,54.3617
1269,205632,54.3617
1272,206080,54.3617
1273,206304,54.3617
1276,206752,54.3617
1277,206976,54.3617
1279,207200,54.3617
1280,207424,54.3617
1283,207872,54.0277
1284,208096,54.3617
1287,208544,54.3617
1288,208768,54.3617
1290,208992,54.3604
1291,209216,53.3557
1294,209664,54.3617
1295,209888,53.3553
1298,210336,54.0259
1301,210784,54.0259
1302,211008,54.3617
1305,211456,54.3617
1306,211680,54.3617
1308,211904,54.3617
1309,212128,54.3617
1312,212576,54.3617
1313,212800,54.3617
1316,213248,54.3625
1319,213696,54.0238
1320,213920,54.3617
1323,214368,53.6901
1324,214592,54.3617
1326,214816,54.3617
1327,215040,53.3529
1330,215488,54.026
1331,215712,54.3638
1334,216160,54.3617
1337,216608,54.3617
1338,216832,54.3617
1341,217280,54.3617
1342,217504,54.3617
1345,217952,54.3617
1348,218400,54.3608
1349,218624,54.3617
1352,219072,54.0264
1353,219296,54.3617
1355,219520,54.3645
1356,219744,53.3544
1359,220192,54.3617
1360,220416,54.3617
1363,220864,54.6967
1366,221312,54.3617
1367,221536,54.3617
1370,221984,54.3617
1371,222208,54.363
1373,222432,54.3617
1374,222656,54.3617
1377,223104,54.3617
1378,223328,54.3617
1381,223776,54.3617
