episode,timestep,reward
1,224,4.0
4,672,4.3333
5,896,8.0
8,1344,2.3333
9,1568,2.0
11,1792,1.5
12,2016,5.0
15,2464,5.0
16,2688,1.0
19,3136,4.3333
22,3584,1.3333
23,3808,9.0
26,4256,4.6667
27,4480,4.0
29,4704,3.5
30,4928,4.0
33,5376,5.0
34,5600,9.0
37,6048,2.3333
40,6496,3.0
41,6720,3.0
44,7168,5.0
45,7392,4.0
47,7616,4.5
48,7840,1.0
51,8288,3.6667
52,8512,12.0
55,8960,6.3333
56,9184,7.0
58,9408,6.0
59,9632,6.0
62,10080,6.0
63,10304,7.0
66,10752,4.0
69,11200,6.0
70,11424,6.0
73,11872,5.3333
74,12096,6.0
76,12320,4.5
77,12544,6.0
80,12992,6.3333
81,13216,4.0
84,13664,5.0
87,14112,6.6667
88,14336,5.0
91,14784,3.6667
92,15008,7.0
94,15232,6.5
95,15456,6.0
98,15904,6.0
99,16128,0.0
102,16576,5.6667
105,17024,5.3333
106,17248,7.0
109,17696,5.0
110,17920,7.0
113,18368,6.3333
116,18816,6.6667
117,19040,6.0
120,19488,8.0
121,19712,6.0
123,19936,7.0
124,20160,7.0
127,20608,6.3333
128,20832,11.0
131,21280,7.0
134,21728,8.3333
135,21952,9.0
138,22400,6.3333
139,22624,7.0
141,22848,4.5
142,23072,11.0
145,23520,9.0
146,23744,5.0
149,24192,5.6667
152,24640,6.6667
153,24864,10.0
156,25312,5.6667
157,25536,6.0
159,25760,5.5
160,25984,0.0
163,26432,4.3333
164,26656,10.0
167,27104,8.3333
168,27328,5.0
170,27552,7.0
171,27776,5.0
174,28224,4.3333
175,28448,6.0
178,28896,6.0
181,29344,8.3333
182,29568,4.0
185,30016,7.6667
186,30240,8.0
188,30464,6.5
189,30688,6.0
192,31136,6.0
193,31360,12.0
196,31808,10.3333
199,32256,6.6667
200,32480,12.0
203,32928,6.3333
204,33152,8.0
206,33376,6.0
207,33600,4.0
210,34048,6.0
211,34272,6.0
214,34720,7.3333
217,35168,6.0
218,35392,8.0
221,35840,8.3333
222,36064,7.0
225,36512,9.3333
228,36960,7.0
229,37184,5.0
232,37632,8.3333
233,37856,7.0
235,38080,6.5
236,38304,9.0
239,38752,7.0
240,38976,4.0
243,39424,6.6667
246,39872,8.3333
247,40096,11.0
250,40544,7.6667
251,40768,6.0
253,40992,9.0
254,41216,9.0
257,41664,8.3333
258,41888,4.0
261,42336,7.3333
264,42784,7.0
265,43008,6.0
268,43456,7.6667
269,43680,6.0
271,43904,9.0
272,44128,9.0
275,44576,9.0
276,44800,5.0
279,45248,4.6667
280,45472,6.0
282,45696,7.5
283,45920,5.0
286,46368,5.3333
287,46592,5.0
290,47040,6.6667
293,47488,7.3333
294,47712,6.0
297,48160,9.3333
298,48384,7.0
300,48608,7.0
301,48832,5.0
304,49280,9.6667
305,49504,4.0
308,49952,9.3333
311,50400,7.0
312,50624,6.0
315,51072,7.3333
316,51296,9.0
318,51520,5.5
319,51744,9.0
322,52192,8.6667
323,52416,8.0
326,52864,7.3333
329,53312,7.0
330,53536,9.0
333,53984,7.6667
334,54208,5.0
337,54656,7.0
340,55104,8.6667
341,55328,10.0
344,55776,7.3333
345,56000,7.0
347,56224,8.5
348,56448,5.0
351,56896,8.6667
352,57120,8.0
355,57568,9.0
358,58016,9.3333
359,58240,8.0
362,58688,7.3333
363,58912,12.0
365,59136,6.0
366,59360,7.0
369,59808,8.3333
370,60032,6.0
373,60480,7.6667
376,60928,9.0
377,61152,6.0
380,61600,6.3333
381,61824,9.0
383,62048,9.0
384,62272,10.0
387,62720,8.6667
388,62944,4.0
391,63392,9.3333
392,63616,10.0
394,63840,6.5
395,64064,6.0
398,64512,5.6667
399,64736,12.0
402,65184,8.6667
405,65632,8.6667
406,65856,11.0
409,66304,8.6667
410,66528,10.0
412,66752,10.5
413,66976,6.0
416,67424,8.6667
417,67648,5.0
420,68096,7.0
423,68544,7.3333
424,68768,5.0
427,69216,7.0
428,69440,9.0
430,69664,6.5
431,69888,7.0
434,70336,10.0
435,70560,9.0
438,71008,8.3333
441,71456,9.0
442,71680,6.0
445,72128,7.0
446,72352,10.0
449,72800,8.3333
452,73248,8.6667
453,73472,8.0
456,73920,6.3333
457,74144,11.0
459,74368,11.0
460,74592,7.0
463,75040,9.3333
464,75264,11.0
467,75712,11.0
470,76160,11.0
471,76384,7.0
474,76832,8.3333
475,77056,6.0
477,77280,7.5
478,77504,7.0
481,77952,11.3333
482,78176,6.0
485,78624,9.6667
488,79072,6.3333
489,79296,11.0
492,79744,9.0
493,79968,8.0
495,80192,8.0
496,80416,6.0
499,80864,7.3333
500,81088,9.0
503,81536,8.0
504,81760,8.0
506,81984,13.0
507,82208,10.0
510,82656,10.3333
511,82880,7.0
514,83328,8.3333
517,83776,10.0
518,84000,10.0
521,84448,7.6667
522,84672,6.0
524,84896,7.0
525,85120,5.0
528,85568,8.6667
529,85792,9.0
532,86240,8.0
535,86688,8.0
536,86912,10.0
539,87360,7.0
540,87584,7.0
542,87808,9.5
543,88032,6.0
546,88480,10.3333
547,88704,6.0
550,89152,9.3333
553,89600,7.0
554,89824,10.0
557,90272,8.3333
558,90496,13.0
561,90944,9.3333
564,91392,8.3333
565,91616,7.0
568,92064,12.0
569,92288,11.0
571,92512,7.5
572,92736,7.0
575,93184,9.6667
576,93408,9.0
579,93856,10.3333
582,94304,11.3333
583,94528,11.0
586,94976,7.6667
587,95200,12.0
589,95424,11.0
590,95648,11.0
593,96096,7.3333
594,96320,10.0
597,96768,10.3333
600,97216,10.3333
601,97440,11.0
604,97888,6.3333
605,98112,14.0
607,98336,8.5
608,98560,11.0
611,99008,8.6667
612,99232,8.0
615,99680,10.3333
616,99904,9.0
618,100128,12.0
619,100352,11.0
622,100800,9.0
623,101024,7.0
626,101472,10.3333
629,101920,10.6667
630,102144,13.0
633,102592,9.0
634,102816,9.0
636,103040,9.0
637,103264,7.0
640,103712,10.0
641,103936,10.0
644,104384,11.0
647,104832,10.0
648,105056,8.0
651,105504,12.6667
652,105728,12.0
654,105952,8.0
655,106176,13.0
658,106624,9.3333
659,106848,16.0
662,107296,9.3333
665,107744,10.0
666,107968,11.0
669,108416,9.3333
670,108640,13.0
673,109088,12.6667
676,109536,8.3333
677,109760,11.0
680,110208,11.0
681,110432,8.0
683,110656,10.0
684,110880,9.0
687,111328,11.3333
688,111552,10.0
691,112000,9.0
694,112448,11.3333
695,112672,10.0
698,113120,7.6667
699,113344,11.0
701,113568,9.0
702,113792,11.0
705,114240,12.0
706,114464,11.0
709,114912,10.0
712,115360,9.0
713,115584,12.0
716,116032,10.0
717,116256,11.0
719,116480,14.0
720,116704,9.0
723,117152,9.3333
724,117376,12.0
727,117824,9.3333
728,118048,11.0
730,118272,14.0
731,118496,12.0
734,118944,13.0
735,119168,12.0
738,119616,11.0
741,120064,8.3333
742,120288,9.0
745,120736,12.3333
746,120960,9.0
748,121184,10.5
749,121408,12.0
752,121856,11.3333
753,122080,12.0
756,122528,10.6667
759,122976,8.6667
760,123200,13.0
763,123648,10.3333
764,123872,9.0
766,124096,11.5
767,124320,13.0
770,124768,13.0
771,124992,12.0
774,125440,11.6667
777,125888,9.3333
778,126112,11.0
781,126560,9.3333
782,126784,6.0
785,127232,10.0
788,127680,7.6667
789,127904,11.0
792,128352,11.0
793,128576,13.0
795,128800,13.5
796,129024,12.0
799,129472,11.0
800,129696,9.0
803,130144,10.3333
806,130592,14.0
807,130816,11.0
