episode,timestep,reward
1,224,3.0
4,672,4.0
5,896,3.0
8,1344,4.3333
9,1568,3.0
11,1792,5.5
12,2016,2.0
15,2464,4.3333
16,2688,2.0
19,3136,5.0
22,3584,3.6667
23,3808,3.0
26,4256,5.0
27,4480,4.0
29,4704,5.5
30,4928,3.0
33,5376,5.6667
34,5600,6.0
37,6048,7.0
40,6496,5.0
41,6720,3.0
44,7168,5.0
45,7392,8.0
47,7616,6.5
48,7840,6.0
51,8288,4.6667
52,8512,3.0
55,8960,4.3333
56,9184,8.0
58,9408,6.0
59,9632,6.0
62,10080,3.3333
63,10304,10.0
66,10752,4.3333
69,11200,2.6667
70,11424,5.0
73,11872,4.3333
74,12096,8.0
76,12320,6.0
77,12544,0.0
80,12992,2.3333
81,13216,6.0
84,13664,4.0
87,14112,7.3333
88,14336,4.0
91,14784,5.3333
92,15008,3.0
94,15232,5.5
95,15456,3.0
98,15904,6.3333
99,16128,6.0
102,16576,5.0
105,17024,4.0
106,17248,4.0
109,17696,4.0
110,17920,5.0
113,18368,4.0
116,18816,5.0
117,19040,4.0
120,19488,4.6667
121,19712,2.0
123,19936,4.0
124,20160,5.0
127,20608,6.0
128,20832,6.0
131,21280,4.3333
134,21728,4.3333
135,21952,5.0
138,22400,5.6667
139,22624,3.0
141,22848,4.0
142,23072,3.0
145,23520,5.0
146,23744,4.0
149,24192,6.3333
152,24640,5.0
153,24864,2.0
156,25312,9.0
157,25536,10.0
159,25760,4.5
160,25984,5.0
163,26432,6.0
164,26656,7.0
167,27104,4.6667
168,27328,7.0
170,27552,7.0
171,27776,9.0
174,28224,9.0
175,28448,6.0
178,28896,7.6667
181,29344,7.3333
182,29568,7.0
185,30016,8.3333
186,30240,7.0
188,30464,7.5
189,30688,6.0
192,31136,7.3333
193,31360,7.0
196,31808,8.0
199,32256,9.0
200,32480,8.0
203,32928,7.3333
204,33152,7.0
206,33376,8.5
207,33600,7.0
210,34048,9.0
211,34272,7.0
214,34720,5.6667
217,35168,6.3333
218,35392,7.0
221,35840,6.6667
222,36064,8.0
225,36512,6.6667
228,36960,7.0
229,37184,6.0
232,37632,6.0
233,37856,6.0
235,38080,6.5
236,38304,9.0
239,38752,5.6667
240,38976,7.0
243,39424,6.0
246,39872,6.0
247,40096,4.0
250,40544,5.3333
251,40768,6.0
253,40992,5.0
254,41216,6.0
257,41664,5.0
258,41888,5.0
261,42336,5.0
264,42784,5.3333
265,43008,5.0
268,43456,5.0
269,43680,5.0
271,43904,4.5
272,44128,5.0
275,44576,5.3333
276,44800,6.0
279,45248,4.6667
280,45472,4.0
282,45696,5.0
283,45920,4.0
286,46368,4.3333
287,46592,6.0
290,47040,4.3333
293,47488,4.3333
294,47712,5.0
297,48160,4.3333
298,48384,4.0
300,48608,4.5
301,48832,2.0
304,49280,4.6667
305,49504,4.0
308,49952,4.6667
311,50400,4.6667
312,50624,6.0
315,51072,5.0
316,51296,4.0
318,51520,4.5
319,51744,5.0
322,52192,3.3333
323,52416,4.0
326,52864,4.3333
329,53312,5.0
330,53536,5.0
333,53984,4.3333
334,54208,4.0
337,54656,4.3333
340,55104,4.6667
341,55328,6.0
344,55776,5.0
345,56000,4.0
347,56224,5.0
348,56448,5.0
351,56896,5.0
352,57120,5.0
355,57568,5.0
358,58016,5.0
359,58240,5.0
362,58688,4.3333
363,58912,5.0
365,59136,4.0
366,59360,6.0
369,59808,4.6667
370,60032,5.0
373,60480,4.0
376,60928,4.0
377,61152,3.0
380,61600,4.0
381,61824,2.0
383,62048,5.0
384,62272,2.0
387,62720,2.3333
388,62944,5.0
391,63392,3.3333
392,63616,3.0
394,63840,3.5
395,64064,3.0
398,64512,3.6667
399,64736,4.0
402,65184,3.0
405,65632,3.0
406,65856,5.0
409,66304,3.6667
410,66528,3.0
412,66752,4.5
413,66976,7.0
416,67424,4.0
417,67648,4.0
420,68096,4.6667
423,68544,4.6667
424,68768,4.0
427,69216,5.3333
428,69440,5.0
430,69664,2.5
431,69888,2.0
434,70336,3.0
435,70560,4.0
438,71008,4.0
441,71456,3.6667
442,71680,2.0
445,72128,4.0
446,72352,5.0
449,72800,4.0
452,73248,3.3333
453,73472,3.0
456,73920,4.3333
457,74144,5.0
459,74368,4.0
460,74592,4.0
463,75040,3.6667
464,75264,4.0
467,75712,4.6667
470,76160,4.0
471,76384,5.0
474,76832,4.3333
475,77056,8.0
477,77280,5.5
478,77504,4.0
481,77952,5.6667
482,78176,4.0
485,78624,4.3333
488,79072,5.0
489,79296,4.0
492,79744,5.3333
493,79968,4.0
495,80192,4.0
496,80416,5.0
499,80864,5.0
500,81088,4.0
503,81536,4.0
504,81760,6.0
506,81984,4.0
507,82208,6.0
510,82656,4.6667
511,82880,4.0
514,83328,4.3333
517,83776,5.0
518,84000,4.0
521,84448,6.3333
522,84672,6.0
524,84896,4.5
525,85120,4.0
528,85568,5.0
529,85792,6.0
532,86240,5.3333
535,86688,4.6667
536,86912,4.0
539,87360,4.0
540,87584,5.0
542,87808,4.5
543,88032,5.0
546,88480,4.6667
547,88704,4.0
550,89152,4.6667
553,89600,4.0
554,89824,4.0
557,90272,5.0
558,90496,4.0
561,90944,4.6667
564,91392,5.0
565,91616,4.0
568,92064,4.6667
569,92288,5.0
571,92512,4.5
572,92736,4.0
575,93184,5.6667
576,93408,5.0
579,93856,4.6667
582,94304,4.0
583,94528,6.0
586,94976,5.0
587,95200,4.0
589,95424,4.0
590,95648,3.0
593,96096,2.6667
594,96320,2.0
597,96768,2.6667
600,97216,3.3333
601,97440,4.0
604,97888,2.6667
605,98112,2.0
607,98336,4.0
608,98560,2.0
611,99008,2.0
612,99232,5.0
615,99680,2.6667
616,99904,4.0
618,100128,4.0
619,100352,4.0
622,100800,2.3333
623,101024,4.0
626,101472,3.3333
629,101920,3.3333
630,102144,4.0
633,102592,3.3333
634,102816,4.0
636,103040,5.0
637,103264,5.0
640,103712,4.3333
641,103936,5.0
644,104384,4.0
647,104832,4.0
648,105056,4.0
651,105504,4.3333
652,105728,4.0
654,105952,4.0
655,106176,4.0
658,106624,4.0
659,106848,4.0
662,107296,4.0
665,107744,4.6667
666,107968,4.0
669,108416,4.6667
670,108640,5.0
673,109088,4.0
676,109536,5.0
677,109760,6.0
680,110208,5.0
681,110432,5.0
683,110656,4.0
684,110880,5.0
687,111328,5.3333
688,111552,5.0
691,112000,4.3333
694,112448,4.3333
695,112672,5.0
698,113120,5.0
699,113344,6.0
701,113568,5.0
702,113792,5.0
705,114240,5.0
706,114464,6.0
709,114912,5.0
712,115360,4.6667
713,115584,5.0
716,116032,5.3333
717,116256,6.0
719,116480,5.0
720,116704,4.0
723,117152,4.6667
724,117376,6.0
727,117824,4.6667
728,118048,4.0
730,118272,5.0
731,118496,2.0
734,118944,5.3333
735,119168,5.0
738,119616,4.3333
741,120064,5.0
742,120288,5.0
745,120736,4.6667
746,120960,4.0
748,121184,4.0
749,121408,4.0
752,121856,5.3333
753,122080,5.0
756,122528,4.3333
759,122976,5.6667
760,123200,5.0
763,123648,5.0
764,123872,6.0
766,124096,4.0
767,124320,6.0
770,124768,4.6667
771,124992,4.0
774,125440,4.6667
777,125888,5.6667
778,126112,4.0
781,126560,5.0
782,126784,5.0
785,127232,6.6667
788,127680,5.0
789,127904,6.0
792,128352,4.6667
793,128576,2.0
795,128800,7.0
796,129024,6.0
799,129472,4.3333
800,129696,4.0
803,130144,4.3333
806,130592,4.3333
807,130816,4.0
810,131264,4.3333
811,131488,6.0
813,131712,4.5
814,131936,6.0
817,132384,4.6667
818,132608,4.0
821,133056,4.0
824,133504,5.0
825,133728,4.0
828,134176,4.0
829,134400,6.0
831,134624,5.5
832,134848,6.0
835,135296,4.6667
836,135520,4.0
839,135968,4.0
840,136192,6.0
842,136416,4.5
843,136640,5.0
846,137088,5.3333
847,137312,6.0
850,137760,4.6667
853,138208,4.6667
854,138432,5.0
857,138880,5.3333
858,139104,6.0
860,139328,7.5
861,139552,6.0
864,140000,5.0
865,140224,14.0
868,140672,4.6667
871,141120,4.0
872,141344,4.0
875,141792,4.3333
876,142016,3.0
878,142240,4.0
879,142464,4.0
882,142912,4.0
883,143136,4.0
886,143584,4.6667
889,144032,3.6667
890,144256,4.0
893,144704,4.0
894,144928,4.0
897,145376,4.0
900,145824,5.3333
901,146048,4.0
904,146496,3.3333
905,146720,5.0
907,146944,3.0
908,147168,4.0
911,147616,4.3333
912,147840,6.0
915,148288,6.0
918,148736,3.3333
919,148960,4.0
922,149408,4.6667
923,149632,4.0
925,149856,5.0
926,150080,8.0
929,150528,4.6667
930,150752,4.0
933,151200,4.6667
936,151648,6.0
937,151872,6.0
940,152320,5.6667
941,152544,6.0
943,152768,6.5
944,152992,7.0
947,153440,6.0
948,153664,8.0
951,154112,8.3333
952,154336,8.0
954,154560,5.0
955,154784,7.0
958,155232,7.6667
959,155456,13.0
962,155904,8.3333
965,156352,6.3333
966,156576,8.0
969,157024,8.6667
970,157248,5.0
972,157472,7.0
973,157696,6.0
976,158144,7.6667
977,158368,10.0
980,158816,7.0
983,159264,6.3333
984,159488,6.0
987,159936,7.6667
988,160160,5.0
990,160384,7.5
991,160608,8.0
994,161056,8.6667
995,161280,10.0
998,161728,9.0
1001,162176,7.6667
1002,162400,9.0
1005,162848,8.0
1006,163072,6.0
1009,163520,8.3333
1012,163968,7.6667
1013,164192,6.0
1016,164640,6.0
1017,164864,6.0
1019,165088,6.0
1020,165312,6.0
1023,165760,5.6667
1024,165984,5.0
1027,166432,6.0
1030,166880,4.6667
1031,167104,4.0
1034,167552,6.0
1035,167776,5.0
1037,168000,5.0
1038,168224,5.0
1041,168672,5.3333
1042,168896,6.0
1045,169344,5.0
1048,169792,4.3333
1049,170016,4.0
1052,170464,4.6667
1053,170688,4.0
1055,170912,4.5
1056,171136,5.0
1059,171584,4.6667
1060,171808,4.0
1063,172256,4.6667
1064,172480,5.0
1066,172704,4.0
1067,172928,5.0
1070,173376,4.3333
1071,173600,4.0
1074,174048,4.0
1077,174496,5.0
1078,174720,4.0
1081,175168,4.3333
