episode,timestep,reward
1,1032,0.4962
3,2064,0.451
5,3096,0.612
7,4128,0.5105
9,5160,0.5233
12,7224,0.4373
14,8256,0.4993
16,9288,0.4587
18,10320,0.3931
20,11352,0.3868
21,12384,0.5944
23,13416,0.5049
25,14448,0.4835
27,15480,0.5304
29,16512,0.4488
32,18576,0.4709
34,19608,0.4624
36,20640,0.5159
38,21672,0.3854
40,22704,0.5512
43,24768,0.4929
45,25800,0.5406
47,26832,0.5561
49,27864,0.5028
51,28896,0.434
52,29928,0.4128
54,30960,0.5183
56,31992,0.5069
58,33024,0.4196
60,34056,0.4186
63,36120,0.6028
65,37152,0.5055
67,38184,0.594
69,39216,0.3955
71,40248,0.4435
74,42312,0.4479
76,43344,0.4156
78,44376,0.4735
80,45408,0.4181
82,46440,0.5942
83,47472,0.4799
85,48504,0.4654
87,49536,0.6237
89,50568,0.4181
91,51600,0.3719
94,53664,0.5015
96,54696,0.4961
98,55728,0.5669
100,56760,0.6037
102,57792,0.4965
105,59856,0.5219
107,60888,0.5544
109,61920,0.4918
111,62952,0.5183
113,63984,0.4725
114,65016,0.4896
116,66048,0.5554
118,67080,0.5122
120,68112,0.5363
122,69144,0.5451
125,71208,0.5443
127,72240,0.4644
129,73272,0.4449
131,74304,0.4783
133,75336,0.56
136,77400,0.4621
138,78432,0.6205
140,79464,0.4606
142,80496,0.5171
144,81528,0.4929
145,82560,0.4676
147,83592,0.5472
149,84624,0.4759
151,85656,0.4342
153,86688,0.5099
156,88752,0.4976
158,89784,0.4222
160,90816,0.5607
162,91848,0.5251
164,92880,0.4932
167,94944,0.5087
169,95976,0.492
171,97008,0.5586
173,98040,0.5632
175,99072,0.4295
176,100104,0.523
