episode,timestep,reward
3,400,13.3455
6,800,19.4648
13,1600,20.5755
16,2000,23.9468
23,2800,25.6134
30,3600,28.3259
33,4000,29.2966
37,4400,30.7228
44,5200,28.7219
51,6000,29.0648
62,7200,29.8622
66,7600,27.5462
85,9600,30.8403
89,10000,30.2743
93,10400,30.3733
97,10800,30.7151
101,11200,31.7926
105,11600,31.0422
109,12000,32.5843
113,12400,31.5964
117,12800,32.3726
121,13200,33.7251
125,13600,32.1156
129,14000,31.5356
133,14400,33.0016
141,15200,32.4404
145,15600,33.3248
149,16000,33.4964
153,16400,32.4966
157,16800,31.9792
161,17200,31.7455
165,17600,33.8686
169,18000,33.603
173,18400,34.339
177,18800,32.617
190,20000,31.7113
194,20400,30.0112
203,21200,29.4507
207,21600,29.7863
216,22400,30.6069
220,22800,30.569
233,24000,30.2205
258,26400,31.2256
262,26800,32.064
266,27200,31.7711
287,29200,31.6627
291,29600,30.9325
304,30800,31.5006
308,31200,31.246
321,32400,31.1261
330,33200,31.1999
343,34400,30.6905
352,35200,31.2623
356,35600,28.5604
365,36400,31.399
378,37600,31.4025
382,38000,30.8339
386,38400,29.8439
390,38800,30.8797
414,41200,30.6108
418,41600,32.0624
431,42800,31.1813
435,43200,30.5555
444,44000,31.9623
448,44400,29.9123
452,44800,31.3378
456,45200,32.2071
463,46000,28.1432
467,46400,27.9952
487,48400,30.0634
495,49200,31.5694
499,49600,32.137
503,50000,29.4505
511,50800,31.4086
520,51600,30.7553
533,52800,30.4618
542,53600,30.6034
555,54800,31.556
569,56000,31.1278
578,56800,31.7783
587,57600,31.1333
596,58400,29.5034
605,59200,31.2415
614,60000,29.3891
