episode,timestep,reward
3,400,8.8785
10,1200,17.3891
17,2000,20.6772
20,2400,22.0409
24,2800,24.9288
27,3200,23.0891
34,4000,24.2345
41,4800,23.9488
45,5200,26.4025
48,5600,26.3288
52,6000,23.119
55,6400,20.9988
62,7200,23.1418
66,7600,26.8649
70,8000,28.4226
74,8400,28.1888
78,8800,28.1526
82,9200,26.4973
90,10000,27.5618
109,12000,27.7213
113,12400,27.6745
128,14000,27.6821
132,14400,26.523
143,15600,27.6432
147,16000,27.7064
151,16400,27.9218
155,16800,27.5582
159,17200,27.394
174,18800,27.3903
178,19200,26.4706
182,19600,27.6881
197,21200,27.2938
201,21600,26.5417
220,23600,28.0818
224,24000,27.3641
228,24400,25.5425
235,25200,26.7718
239,25600,27.461
242,26000,27.6587
246,26400,26.9878
253,27200,29.1377
257,27600,27.6126
268,28800,28.2163
272,29200,29.0353
279,30000,28.4863
283,30400,27.8737
287,30800,27.0964
294,31600,27.8647
298,32000,26.5701
305,32800,26.9183
312,33600,24.8947
319,34400,26.9209
326,35200,27.6448
333,36000,26.9916
337,36400,26.1466
344,37200,27.4624
355,38400,26.4202
366,39600,26.7745
373,40400,26.8928
380,41200,23.2158
387,42000,25.8244
394,42800,25.3582
401,43600,26.4442
405,44000,27.5285
412,44800,27.4257
419,45600,26.1952
430,46800,26.5217
437,47600,26.436
441,48000,27.5309
448,48800,28.6057
455,49600,26.5272
459,50000,27.2667
466,50800,26.6682
470,51200,28.3858
481,52400,27.4515
485,52800,26.862
496,54000,27.508
500,54400,27.1335
504,54800,26.9546
519,56400,26.6792
523,56800,27.9447
527,57200,26.4238
542,58800,27.3432
546,59200,26.4062
