episode,timestep,reward
3,400,15.8569
6,800,19.6751
16,2000,24.4282
19,2400,31.2384
26,3200,27.6485
33,4000,25.2153
36,4400,24.3276
43,5200,25.7307
50,6000,26.5529
53,6400,29.9934
57,6800,30.3621
60,7200,24.0548
70,8400,22.8083
73,8800,17.7828
80,9600,27.3877
87,10400,28.7573
91,10800,30.9058
102,12000,29.7271
121,14000,29.7038
128,14800,27.661
131,15200,31.3121
138,16000,26.6345
154,17600,30.4291
158,18000,29.4601
166,18800,30.0347
179,20000,30.8614
183,20400,29.8879
196,21600,32.9797
200,22000,32.8613
213,23200,32.7483
217,23600,34.187
226,24400,32.1871
230,24800,32.0509
243,26000,31.9754
260,27600,32.7282
273,28800,31.6129
277,29200,31.433
294,30800,32.5745
307,32000,31.5873
311,32400,33.4808
324,33600,32.4259
337,34800,31.9436
341,35200,32.9708
354,36400,32.7775
358,36800,32.0411
371,38000,33.2836
384,39200,33.1937
388,39600,34.0652
401,40800,33.0432
405,41200,33.3949
418,42400,33.1246
422,42800,34.4794
435,44000,32.983
448,45200,33.0006
452,45600,33.7048
465,46800,33.9645
469,47200,33.1645
482,48400,33.3872
486,48800,34.2088
499,50000,32.8802
503,50400,32.2428
516,51600,33.0654
520,52000,33.6474
533,53200,33.2757
546,54400,33.7269
550,54800,32.5291
563,56000,33.267
567,56400,33.1894
580,57600,33.5072
584,58000,33.2105
597,59200,33.6474
601,59600,33.6474
