episode,timestep,reward
3,400,17.9485
10,1200,22.9883
13,1600,23.1056
16,2000,21.6551
23,2800,26.4762
26,3200,28.5637
33,4000,28.8765
36,4400,24.2035
43,5200,30.8594
50,6000,31.2426
54,6400,35.0374
65,7600,30.26
69,8000,32.7033
73,8400,32.1044
77,8800,34.0347
81,9200,34.5221
85,9600,33.4827
89,10000,32.63
93,10400,33.1297
97,10800,33.0128
105,11600,33.3404
113,12400,33.1285
121,13200,33.4264
128,14000,33.0034
135,14800,30.7708
139,15200,29.4039
163,17600,34.6965
176,18800,38.2896
180,19200,36.8689
189,20000,39.2123
193,20400,39.1997
206,21600,38.8689
219,22800,39.8301
228,23600,40.0461
237,24400,40.0041
246,25200,38.7478
255,26000,39.0286
264,26800,37.7006
273,27600,37.8991
282,28400,37.5213
295,29600,37.1002
308,30800,36.8704
321,32000,35.7901
329,32800,36.0031
333,33200,33.5275
337,33600,33.2763
353,35200,35.048
366,36400,38.184
370,36800,37.0569
387,38400,37.4359
400,39600,37.4432
409,40400,38.3343
413,40800,38.4777
422,41600,39.1717
431,42400,37.9677
435,42800,37.9609
444,43600,38.7769
453,44400,38.3849
457,44800,36.3421
474,46400,37.2056
483,47200,39.076
496,48400,36.7442
505,49200,38.4846
518,50400,39.6089
539,52400,36.1223
567,54800,39.0016
572,55200,38.8739
591,56800,39.2087
596,57200,39.6552
615,58800,39.7119
620,59200,39.2389
