episode,timestep,reward
3,400,11.5063
7,800,13.5069
14,1600,10.4915
21,2400,12.9273
28,3200,14.8026
35,4000,18.7544
42,4800,20.7891
46,5200,23.4428
53,6000,25.8332
60,6800,24.5121
67,7600,24.5614
71,8000,24.9478
78,8800,26.7749
89,10000,25.8593
108,12000,25.9816
112,12400,26.9745
119,13200,26.5811
123,13600,24.9074
130,14400,26.0224
145,16000,26.9977
149,16400,28.1599
160,17600,26.4631
167,18400,27.3213
171,18800,25.761
182,20000,26.2971
186,20400,26.2419
197,21600,26.2954
201,22000,24.9174
216,23600,26.59
220,24000,27.0726
231,25200,28.7519
238,26000,25.2461
242,26400,26.1867
253,27600,26.8148
257,28000,28.0166
268,29200,26.2066
279,30400,26.9061
290,31600,27.733
294,32000,27.6889
301,32800,27.1238
305,33200,27.6605
309,33600,26.4713
313,34000,27.2087
324,35200,26.9579
331,36000,23.6566
338,36800,28.0148
342,37200,26.7992
349,38000,26.9282
353,38400,26.4406
364,39600,27.5669
368,40000,25.3766
379,41200,27.3925
386,42000,27.8881
390,42400,27.4951
397,43200,19.6535
404,44000,26.4956
408,44400,25.3181
415,45200,28.658
426,46400,26.9306
437,47600,26.1967
441,48000,26.1839
448,48800,27.3078
452,49200,27.9158
459,50000,27.5368
463,50400,27.6304
470,51200,27.6613
474,51600,26.7438
485,52800,26.8803
496,54000,25.5089
503,54800,25.8573
507,55200,25.8555
514,56000,26.6973
518,56400,25.9548
525,57200,26.0958
529,57600,26.0667
536,58400,25.4866
547,59600,26.0943
