episode,timestep,reward
3,400,14.1855
6,800,20.3775
16,2000,21.2263
19,2400,23.4596
22,2800,18.9606
29,3600,26.1725
32,4000,24.1259
35,4400,26.346
42,5200,32.8365
49,6000,33.0651
52,6400,32.1096
59,7200,34.1848
66,8000,32.8108
69,8400,37.174
76,9200,32.4907
80,9600,36.7009
84,10000,35.2417
91,10800,35.6576
98,11600,34.5021
109,12800,34.5702
116,13600,34.822
120,14000,37.2807
124,14400,39.8006
128,14800,37.7112
145,16400,38.1912
149,16800,39.6091
153,17200,38.1133
178,19600,37.8495
195,21200,38.2396
199,21600,38.2602
216,23200,38.4455
220,23600,37.9709
224,24000,35.9995
228,24400,35.9809
232,24800,34.6425
236,25200,36.7099
249,26400,37.5684
253,26800,38.5209
270,28400,39.8519
274,28800,39.5528
295,30800,39.9404
299,31200,41.1284
303,31600,40.1025
320,33200,40.224
324,33600,39.8472
337,34800,40.4485
354,36400,39.9792
358,36800,40.175
379,38800,40.108
383,39200,39.6957
387,39600,40.735
404,41200,40.34
408,41600,41.1628
412,42000,40.3356
433,44000,40.6463
437,44400,40.4641
441,44800,40.7559
445,45200,40.379
449,45600,40.5132
482,48800,40.7986
486,49200,38.797
490,49600,39.8615
507,51200,40.4474
511,51600,40.6404
515,52000,40.8368
519,52400,40.028
548,55200,40.5062
552,55600,40.44
556,56000,41.3664
560,56400,40.5776
564,56800,41.1549
589,59200,40.4015
593,59600,40.4807
597,60000,40.7728
