round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,400.0,40.0,232.0907799432545,997.833579726442,2.0
2.0,390.0,40.0,234.5606535078835,989.7938141079217,2.0
3.0,430.0,40.0,226.10262750249663,999.5746552409988,2.0
4.0,390.0,40.0,237.05485841852735,986.7366022954957,2.0
5.0,420.0,40.0,243.0019978507566,997.8228711150118,2.0
6.0,420.0,40.0,224.291972438687,995.9798167437616,2.0
7.0,450.0,40.0,230.0109661355253,987.6357946163357,2.0
8.0,400.0,40.0,244.3840940781146,995.6073404343367,2.0
9.0,400.0,40.0,233.62196372337237,993.5798155902062,2.0
10.0,450.0,40.0,214.81285630816313,992.0152881412869,2.0
