id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
0,0.00,225.0,225.00,172.02427653296127,29.429487340565714,10,2,0.36904
1,10.00,208.0,218.00,185.32890682357748,27.96988131838541,10,1,0.49204666666666663
12,120.00,190.0,310.00,178.39325488475856,28.94023871823958,10,1,0.6390066666666666
13,130.00,117.0,247.00,198.14691885488045,29.436005395591366,5,4,0.4380333333333334
14,140.00,269.0,409.00,199.92555669095202,32.14151783254012,10,1,0.49205333333333334
15,150.00,61.0,211.00,209.88158146315212,32.89570239353364,10,2,0.3862466666666666
16,160.00,349.0,509.00,164.60167851109367,27.89567589788856,5,2,0.51872
17,170.00,262.0,432.00,171.9364610605364,31.438973065531787,5,1,0.37434666666666666
18,180.00,361.0,541.00,166.73043427275786,29.50773737787284,5,2,0.5786866666666666
2,20.00,71.0,91.00,186.05610439106164,35.613974594145645,10,3,0.5731533333333333
20,200.00,232.0,432.00,194.13146336383898,31.78183198587201,10,1,0.56214
21,210.00,157.0,367.00,166.42445221090438,28.17832844032844,10,3,0.5572466666666666
22,220.00,205.0,425.00,198.50501503500664,33.56339082871391,10,1,0.37962666666666667
23,230.00,416.0,646.00,172.48344610036418,24.159532511294014,10,1,0.5048333333333334
24,240.00,295.0,535.00,156.87437063487818,34.44877154935843,10,2,0.42497333333333337
25,250.00,230.0,480.00,187.5285106231126,30.57426939772261,10,1,0.5519866666666666
27,270.00,40.0,310.00,145.30082471375897,30.593032926168068,3,3,0.6259933333333333
28,280.00,485.0,765.00,185.64139774668791,29.72456209772209,10,4,0.39790666666666663
29,290.00,190.0,480.00,208.89671420036183,20.2964216198921,10,3,0.5699066666666666
3,30.00,270.0,300.00,170.86237347548865,31.145489741691335,10,4,0.3803066666666667
30,300.00,213.0,513.00,193.52866589893,26.820769608105596,5,2,0.3789133333333333
31,310.00,313.0,623.00,188.55393140191882,39.68327936547057,10,3,0.62664
33,330.00,202.0,532.00,166.9656944796776,28.958506222110024,10,1,0.6230133333333333
34,340.00,130.0,470.00,205.82755841111316,21.28470884538509,5,4,0.5641733333333333
35,350.00,111.0,461.00,170.15191499670127,38.92935246952918,3,4,0.39914666666666665
36,360.00,282.0,642.00,185.34101738698365,23.535715451382757,10,1,0.5563133333333332
37,371.00,260.0,631.00,189.52673380819238,26.101825959232592,5,4,0.38586
38,380.00,85.0,465.00,175.8174276527075,24.648924984179818,5,4,0.45899333333333336
39,390.00,81.0,471.00,140.18442359999514,25.179683205792088,10,3,0.5517466666666666
4,40.00,315.0,355.00,180.53738496779704,28.16738029523447,5,2,0.37748666666666664
41,410.00,174.0,584.00,145.927025789273,17.71660488581862,10,1,0.5722133333333332
42,420.00,355.0,775.00,168.05367862069275,34.1915539181489,10,4,0.44744000000000006
43,430.00,330.0,760.00,171.79900613594904,25.277768720408748,10,2,0.44438000000000005
44,440.00,122.0,562.00,170.0393509861539,24.600342458182883,3,4,0.44808000000000003
45,450.00,333.0,783.00,188.3210009252285,27.28569261991641,10,3,0.54958
46,460.00,171.0,631.00,157.912333211431,36.568963455694174,10,4,0.44594000000000006
47,470.00,66.0,536.00,178.63516789350737,32.884238503138654,3,4,0.5667533333333332
49,490.00,466.0,956.00,185.4903271544788,26.405445271520378,10,2,0.42414
5,50.00,378.0,428.00,175.4626154550689,34.32374550568136,5,4,0.3963
50,500.00,180.0,680.00,161.54907349042315,26.620500343072656,10,4,0.3776
51,510.00,85.0,595.00,176.261564017956,34.83095201547201,10,1,0.5488799999999999
52,520.00,299.0,819.00,168.07371923098984,21.075980566241405,10,3,0.50098
53,530.00,227.0,757.00,204.4079735957726,29.671334263354993,10,4,0.45402000000000003
54,540.00,48.0,588.00,184.56140834162542,28.509254626645582,10,1,0.3786333333333333
55,550.00,421.0,971.00,169.6869435726628,34.50025771948415,5,3,0.6267866666666666
56,560.00,202.0,762.00,160.88109999014446,31.895758677775408,10,3,0.4462066666666667
57,570.00,269.0,839.00,155.9421039387464,28.406609276701147,10,3,0.5604466666666665
58,580.00,142.0,722.00,177.5555274762648,35.164578394725105,3,4,0.6196866666666666
59,590.00,297.0,887.00,192.46375330278775,27.59486440769606,10,3,0.4439133333333334
6,60.00,329.0,389.00,180.55056634246893,26.29626264669177,5,4,0.45188000000000006
60,600.00,203.0,803.00,180.74466087771813,35.62002726543867,5,4,0.5598333333333333
62,620.00,333.0,953.00,177.3259688066312,36.00469547047466,5,1,0.3700133333333333
63,630.00,170.0,800.00,162.52005535632063,14.974359190921183,10,1,0.39294666666666667
64,640.00,59.0,699.00,162.1621037569447,30.909895495279148,5,3,0.44940666666666673
65,650.00,160.0,810.00,196.7903291608183,26.35971140585796,5,3,0.6153799999999999
66,660.00,126.0,786.00,188.525174615562,33.90599050854997,5,1,0.45148000000000005
67,670.00,208.0,878.00,206.03692459129996,33.449090822673945,10,3,0.5734866666666666
69,690.00,264.0,954.00,177.6276776512457,26.402366672104755,10,2,0.5484733333333333
7,70.00,137.0,207.00,201.61623826110892,42.726003892355266,10,1,0.36466
70,700.00,217.0,917.00,198.61919765547066,26.226347135861758,5,1,0.37126666666666663
72,720.00,265.0,985.00,160.19462592385568,35.70524973151019,3,4,0.5792666666666666
73,730.00,102.0,832.00,200.65447379078685,29.84362535752807,10,2,0.6095133333333334
74,740.00,117.0,857.00,171.34016316502283,25.615985458582493,10,2,0.5141
79,790.00,83.0,873.00,196.59142187288785,30.81866369629928,10,4,0.5084933333333334
8,80.00,270.0,350.00,164.4795906615292,31.55681751638395,10,1,0.38852
82,820.00,174.0,994.00,178.21052392089166,16.096311468500936,5,2,0.49682666666666664
84,840.00,89.0,929.00,133.1778335404224,33.44476343298565,10,4,0.39098
85,850.00,56.0,906.00,181.30199170529107,29.69302192432868,10,2,0.48516
9,90.00,87.0,177.00,174.17212047977134,30.365207110815682,10,3,0.6087
