id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
0,0.00,194.0,194.00,201.61623826110892,42.726003892355266,10,1,0.36466
1,10.00,80.0,90.00,186.05610439106164,35.613974594145645,10,3,0.5731533333333333
10,100.00,215.0,315.00,198.14691885488045,29.436005395591366,5,4,0.4380333333333334
11,110.00,410.0,520.00,154.53021229391246,30.57426939772261,10,1,0.5519866666666666
12,120.00,138.0,258.00,172.02427653296127,29.429487340565714,10,2,0.36904
13,130.00,342.0,472.00,175.17852819080179,38.92935246952918,10,4,0.39914666666666665
14,140.00,759.0,899.00,177.70202291944403,35.0937071845009,3,1,0.51828
15,150.00,493.0,643.00,198.41717647561637,22.27614451611194,10,1,0.5189333333333334
17,170.00,209.0,379.00,187.73804995718524,25.522667194031623,10,1,0.38908
18,180.00,332.0,512.00,140.18442359999514,25.179683205792088,10,3,0.5517466666666666
19,190.00,224.0,414.00,198.50501503500664,35.08940024858642,10,1,0.37962666666666667
2,20.00,189.0,209.00,209.88158146315212,32.89570239353364,10,2,0.3862466666666666
20,200.00,371.0,571.00,183.95285276292287,27.967317364888203,10,1,0.4390466666666667
21,210.00,222.0,432.00,194.13146336383898,31.78183198587201,10,1,0.56214
23,230.00,169.0,399.00,187.62327488870747,25.80834517233945,10,3,0.5792933333333332
24,240.00,248.0,488.00,205.82755841111316,21.28470884538509,5,4,0.5641733333333333
25,250.00,4.0,254.00,185.32890682357748,27.96988131838541,10,1,0.49204666666666663
26,260.00,69.0,329.00,178.39325488475856,28.94023871823958,10,1,0.6390066666666666
27,270.00,390.0,660.00,178.3021978290092,37.38670210703588,10,3,0.62664
28,280.00,101.0,381.00,166.26821045613275,24.09683907938794,10,1,0.4402066666666667
3,30.00,328.0,358.00,175.48120688617144,30.593032926168068,10,2,0.5624466666666665
30,300.00,185.0,485.00,175.8174276527075,24.648924984179818,5,4,0.45899333333333336
31,310.00,238.0,548.00,194.85591425775127,29.471516031040828,10,3,0.44477333333333335
32,320.00,288.0,608.00,178.91070312437492,22.219881611523462,10,4,0.4897333333333333
33,330.00,366.0,696.00,181.0433015852195,24.478083302857748,10,2,0.4565466666666667
34,340.00,224.0,564.00,177.2446637811922,19.38743994556615,10,3,0.4853133333333333
35,350.00,284.0,634.00,196.88725952803094,23.87282240584916,10,4,0.5650999999999999
36,360.00,399.0,759.00,190.60033513113,28.913823831844194,10,2,0.6299866666666667
37,370.00,48.0,418.00,175.4626154550689,34.32374550568136,5,4,0.3963
38,380.00,343.0,723.00,172.9550338815462,34.56852903708452,5,1,0.6339733333333333
39,390.00,409.0,799.00,206.05500665546703,30.186165219429533,10,1,0.5796199999999999
40,400.00,132.0,532.00,181.7884457935171,29.8826023713272,10,2,0.5561533333333333
41,410.00,183.0,593.00,217.6670771583062,35.986609903213804,5,3,0.44640666666666673
42,420.00,453.0,873.00,179.37450143011228,31.95704035808474,5,3,0.3852466666666667
45,450.00,251.0,701.00,179.2143436354501,37.71507297703368,10,1,0.5563133333333332
46,460.00,301.0,761.00,156.87635136356175,31.62342705986157,5,3,0.54958
47,470.00,248.0,718.00,190.46926054378562,31.035377870273038,10,3,0.3894066666666667
48,480.00,152.0,632.00,183.90998670550655,26.844123911260798,10,1,0.3661933333333333
49,490.00,110.0,600.00,153.68185178976958,41.42166677235172,10,2,0.6350133333333333
5,50.00,141.0,191.00,174.17212047977134,30.365207110815682,10,3,0.6087
50,500.00,247.0,747.00,183.13013075930752,28.755975280660163,10,2,0.62068
52,520.00,181.0,701.00,184.5570153258357,28.120861525091044,5,1,0.5552666666666666
53,530.00,232.0,762.00,193.53816070060492,32.1312936538905,10,2,0.3793066666666667
54,540.00,339.0,879.00,176.0933337630299,30.99782557242612,10,3,0.6073133333333333
55,550.00,187.0,737.00,203.94519729715944,32.60993864802699,10,2,0.4400333333333334
56,560.00,261.0,821.00,160.81569616501685,26.770661464543068,5,2,0.5679399999999999
57,570.00,167.0,737.00,171.522075327985,33.45830959184912,10,4,0.45045333333333337
58,580.00,93.0,673.00,189.50521667415924,28.47860204139664,10,4,0.38538666666666666
59,590.00,324.0,914.00,172.0110194147425,32.83528186017101,10,2,0.62042
6,60.00,323.0,383.00,166.42445221090438,28.17832844032844,10,3,0.5572466666666666
60,600.00,107.0,707.00,160.04864922323915,26.011000574312032,10,2,0.6160333333333333
61,610.00,381.0,991.00,179.1565709741884,26.346611235675876,10,2,0.5692066666666666
62,620.00,123.0,743.00,167.68871447834275,21.33129015628095,10,1,0.42936
64,640.00,236.0,876.00,177.39497755851588,37.47564372979396,10,3,0.5604466666666665
68,680.00,94.0,774.00,173.81974061905757,28.01364092835601,10,1,0.39294666666666667
7,70.00,350.0,420.00,171.9364610605364,31.438973065531787,5,1,0.37434666666666666
70,700.00,232.0,932.00,193.87546305380266,23.266412471012224,10,4,0.51098
71,710.00,162.0,872.00,170.90251301210117,31.732404003162152,10,4,0.5625733333333333
74,740.00,171.0,911.00,159.0949326770609,28.39060404558172,5,4,0.37378666666666666
75,750.00,197.0,947.00,201.55487611952526,29.331492201657802,10,3,0.6354866666666666
76,760.00,161.0,921.00,170.78560425222892,33.331915410159574,10,1,0.49185999999999996
77,770.00,141.0,911.00,170.28647654396144,32.120275992214836,10,3,0.4439133333333334
8,80.00,311.0,391.00,180.55056634246893,26.29626264669177,5,4,0.45188000000000006
9,90.00,235.0,325.00,158.28398809048744,31.145489741691335,5,4,0.5603066666666666
