round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,664.0793078591275,0.0,156.16873272010722,828.5633604226582,2.0
2.0,638.5873213390516,0.0,81.45669919605878,765.8478749284271,2.0
3.0,580.1985190773978,0.0,105.31969930926981,770.3007198397769,2.0
4.0,562.5909790566009,0.0,112.24039314288474,772.7009581536464,2.0
5.0,617.3188357861261,0.0,99.85015954735292,800.2765116576174,2.0
6.0,476.5976631197382,0.0,169.01195350483079,795.8932101343074,2.0
7.0,587.5235629186307,0.0,104.08690720123167,774.7372749633147,2.0
8.0,521.5046384140586,0.0,168.47241234686692,788.5991963649865,2.0
9.0,564.9107150723501,0.0,90.9793137118602,755.3215810357158,2.0
10.0,586.628559767425,0.0,93.59174963082128,760.6122631790267,2.0
