id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
0,0.00,68.0,68.00,186.05610439106164,35.613974594145645,10,3,0.5731533333333333
1,10.00,276.0,286.00,170.86237347548865,31.145489741691335,10,4,0.3803066666666667
10,100.00,340.0,440.00,154.46022025948372,35.15407973834766,5,4,0.5074
11,110.00,300.0,410.00,203.575591423193,27.989425553999567,10,3,0.5781066666666665
12,120.00,272.0,392.00,171.67777035134318,35.08940024858642,10,3,0.36824666666666667
13,130.00,153.0,283.00,198.14691885488045,29.436005395591366,5,4,0.4380333333333334
14,140.00,141.0,281.00,162.36398901333263,26.28917489796779,10,2,0.36904
15,150.00,191.0,341.00,188.507867969393,26.50031307470863,10,1,0.4402066666666667
16,160.00,87.0,247.00,193.0723719088072,17.235050920829607,5,1,0.6093466666666666
17,170.00,570.0,740.00,167.2512594889554,27.90540827111501,10,2,0.3793066666666667
18,180.00,183.0,363.00,187.62327488870747,25.80834517233945,10,3,0.5792933333333332
19,190.00,492.0,682.00,190.46926054378562,31.035377870273038,10,3,0.3894066666666667
2,20.00,393.0,413.00,174.9078381642992,34.687794211183736,5,1,0.43392000000000003
20,200.00,130.0,330.00,178.39325488475856,28.94023871823958,10,1,0.6390066666666666
21,210.00,125.0,335.00,145.30082471375897,30.593032926168068,3,3,0.6259933333333333
22,220.00,240.0,460.00,180.20075534260502,38.3113117194393,10,2,0.4420733333333334
23,230.00,109.0,339.00,156.5896910147369,36.313577418943595,5,4,0.5538133333333333
24,240.00,389.0,629.00,181.0433015852195,24.478083302857748,10,2,0.4565466666666667
25,250.00,156.0,406.00,200.2415810665675,24.746210215069716,3,3,0.37356
26,260.00,96.0,356.00,147.39603306067912,26.29626264669177,10,4,0.5718799999999999
27,270.00,233.0,503.00,156.39617968748166,26.694478840920752,10,1,0.4390466666666667
3,30.00,200.0,230.00,209.88158146315212,32.89570239353364,10,2,0.3862466666666666
30,300.00,262.0,562.00,178.63516789350737,33.055518549328546,3,4,0.5667533333333332
31,310.00,146.0,456.00,174.884186188346,22.549442938174877,10,1,0.43673333333333336
32,320.00,136.0,456.00,166.13151177676497,24.601109505844608,10,3,0.5517466666666666
33,330.00,218.0,548.00,225.68666708940688,33.571119101898375,3,2,0.5199533333333333
34,340.00,253.0,593.00,196.88725952803094,23.87282240584916,10,4,0.5650999999999999
35,350.00,227.0,577.00,166.73043427275786,29.50773737787284,5,2,0.5786866666666666
36,360.00,373.0,733.00,191.49371648763184,35.02774604502369,3,2,0.5796399999999999
37,370.00,328.0,698.00,217.40222144238322,29.916614343742886,10,2,0.55102
38,380.00,321.0,701.00,167.8515449545577,32.1434896848468,10,1,0.6292866666666667
39,390.00,101.0,491.00,200.79693574869427,28.737662015643554,10,4,0.49596666666666667
4,40.00,161.0,201.00,174.17212047977134,30.365207110815682,10,3,0.6087
40,400.00,367.0,767.00,170.90251301210117,31.732404003162152,10,4,0.5625733333333333
41,410.00,313.0,723.00,142.0809375114405,32.6500837827825,10,2,0.6299866666666667
42,420.00,244.0,664.00,160.04864922323915,26.011000574312032,10,2,0.6160333333333333
43,430.00,390.0,820.00,148.33499723270123,30.101568220741143,10,4,0.5752666666666666
44,440.00,92.0,532.00,203.94643961285522,32.06949988321279,3,2,0.6324799999999999
45,450.00,145.0,595.00,199.32380806188803,22.27614451611194,10,4,0.37672
46,460.00,146.0,606.00,178.3021978290092,37.38670210703588,10,3,0.62664
47,470.00,250.0,720.00,165.4374402565791,35.05616663378723,10,3,0.50694
48,480.00,340.0,820.00,172.0110194147425,32.96056752147763,10,2,0.62042
49,490.00,88.0,578.00,170.0393509861539,24.600342458182883,3,4,0.44808000000000003
50,500.00,473.0,973.00,193.04245000361357,24.214131018408874,10,1,0.6141133333333333
51,510.00,108.0,618.00,164.40730383693037,28.47860204139664,10,4,0.38538666666666666
52,520.00,169.0,689.00,200.65831357890042,34.56852903708452,10,1,0.3708533333333333
53,530.00,362.0,892.00,179.1565709741884,26.346611235675876,10,2,0.5692066666666666
54,540.00,271.0,811.00,183.27465478519713,25.77050560135939,10,4,0.6284933333333333
55,550.00,164.0,714.00,171.6737570426997,31.410349436671982,5,4,0.5444199999999999
56,560.00,151.0,711.00,175.02390112264067,25.226830618699683,10,4,0.36474666666666666
57,570.00,232.0,802.00,162.46394183432997,30.99782557242612,10,3,0.6303
58,580.00,231.0,811.00,197.8132410527265,31.188347885589035,5,2,0.5109533333333334
59,590.00,67.0,657.00,179.2143436354501,37.71507297703368,10,1,0.5563133333333332
6,60.00,290.0,350.00,166.42445221090438,28.17832844032844,10,3,0.5572466666666666
60,600.00,143.0,743.00,176.23887440413023,35.718338824136914,5,3,0.5666333333333332
62,620.00,39.0,659.00,184.5570153258357,28.120861525091044,5,1,0.5552666666666666
63,630.00,164.0,794.00,177.39497755851588,37.47564372979396,10,3,0.5604466666666665
65,650.00,310.0,960.00,160.9549605710004,28.369339089438377,5,1,0.45228
66,660.00,221.0,881.00,201.55487611952526,29.331492201657802,10,3,0.6354866666666666
67,670.00,193.0,863.00,194.21079799937704,29.571950507560793,5,1,0.37126666666666663
68,680.00,94.0,774.00,179.37450143011228,31.95704035808474,5,3,0.3852466666666667
69,690.00,206.0,896.00,163.74014022891845,26.401978057241035,10,2,0.42414
7,70.00,427.0,497.00,206.87908839169864,30.447111448379275,10,3,0.623
70,700.00,177.0,877.00,172.27942457942345,34.3753700951381,10,4,0.39098
71,710.00,45.0,755.00,200.18489061829112,28.730582091516084,5,3,0.5515399999999999
74,740.00,238.0,978.00,185.15284543464688,23.05456105879381,5,1,0.5444933333333333
76,760.00,151.0,911.00,210.48300608209058,25.048656480963917,5,2,0.5763333333333333
78,782.00,144.0,926.00,191.16283121085007,30.998091771807168,5,2,0.49682666666666664
8,80.00,343.0,423.00,182.5382418540724,31.03641386217382,10,2,0.38273999999999997
80,800.00,141.0,941.00,169.62531868987884,35.39289550731826,10,1,0.5716133333333333
84,840.00,153.0,993.00,160.13752778140838,31.40220852658148,5,3,0.6081133333333333
85,850.00,55.0,905.00,198.0010308779366,25.54542458502236,10,1,0.43556000000000006
87,870.00,75.0,945.00,172.70612911216628,32.8018466610069,10,2,0.5618933333333332
89,890.00,97.0,987.00,164.78105409297365,43.924665324118386,10,2,0.61492
9,90.00,116.0,206.00,201.61623826110892,42.726003892355266,10,1,0.36466
