id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
59,590.00,334.0,924.00,172.70612911216628,28.598222524077453,10,2,0.5618933333333332
6,60.00,179.0,239.00,209.88158146315212,32.89570239353364,10,2,0.3862466666666666
60,600.00,109.0,709.00,185.64139774668791,29.72456209772209,10,4,0.39790666666666663
61,610.00,227.0,837.00,193.79636329069578,31.188347885589035,5,3,0.5155733333333333
62,620.00,244.0,864.00,201.55487611952526,29.331492201657802,10,3,0.6354866666666666
63,630.00,217.0,847.00,189.74148292099198,35.684456813013476,10,2,0.60516
64,640.00,276.0,916.00,155.7184519381176,26.56081194485659,10,1,0.45918000000000003
66,660.00,158.0,818.00,162.46394183432997,30.99782557242612,10,3,0.6303
67,670.00,177.0,847.00,197.5014803805524,34.654799413867664,10,3,0.5154666666666666
68,680.00,222.0,902.00,210.48300608209058,25.048656480963917,5,2,0.5763333333333333
7,70.00,172.0,242.00,185.32890682357748,27.96988131838541,10,1,0.49204666666666663
70,700.00,150.0,850.00,193.87546305380266,28.193954791274646,10,4,0.51098
72,720.00,266.0,986.00,179.6863577679489,43.924665324118386,10,1,0.5033533333333333
74,740.00,159.0,899.00,188.64873352202778,18.226113603643316,10,1,0.43556000000000006
75,750.00,233.0,983.00,185.15284543464688,23.05456105879381,5,1,0.5444933333333333
76,760.00,201.0,961.00,160.9549605710004,28.369339089438377,5,1,0.45228
77,770.00,222.0,992.00,180.9898996330018,25.034381945352095,10,2,0.37915333333333334
79,790.00,24.0,814.00,177.39497755851588,37.47564372979396,10,3,0.5604466666666665
8,80.00,345.0,425.00,170.22076433643582,21.28470884538509,10,3,0.6332466666666666
80,800.00,71.0,871.00,179.1565709741884,26.346611235675876,10,2,0.5692066666666666
89,890.00,83.0,973.00,193.04245000361357,24.214131018408874,10,1,0.6141133333333333
9,90.00,301.0,391.00,189.12574020758967,30.43364914467198,10,1,0.56214
