id,depart,duration,arrival,train,communication,alpha
0,0.00,149.0,149.00,211.05827443825632,33.70795870404581,10
1,10.00,189.0,199.00,149.66034530950313,36.667726908109486,10
10,100.00,410.0,510.00,199.99659386500377,30.644914553787054,10
11,110.00,293.0,403.00,141.33590441185768,34.97855674323529,10
12,120.00,122.0,242.00,225.39509247975215,29.429487340565714,10
13,130.00,107.0,237.00,160.78490776532425,31.14943268500181,10
14,140.00,325.0,465.00,166.42445221090438,28.17832844032844,10
15,150.00,113.0,263.00,171.14693515212542,25.590997253333157,10
16,160.00,271.0,431.00,156.38735631755176,27.445974312155634,10
17,170.00,440.0,610.00,187.5285106231126,21.593256785823563,10
18,180.00,258.0,438.00,179.11775184167158,32.14165935265209,10
19,190.00,87.0,277.00,158.4344399483382,23.383863157099732,5
2,20.00,606.0,626.00,179.5304094853088,28.69322663594838,10
20,200.00,382.0,582.00,208.00880167477789,23.61505506487093,10
21,210.00,210.0,420.00,186.2272700655358,27.64432369579348,10
22,220.00,367.0,587.00,165.05090377118484,27.931905096201262,3
23,230.00,470.0,700.00,149.755387072945,27.31083023450838,3
24,240.00,413.0,653.00,156.39617968748166,26.694478840920752,10
25,250.00,157.0,407.00,169.80695636496694,29.843773322880242,10
26,260.00,296.0,556.00,196.114291043019,24.254621594915257,3
27,270.00,365.0,635.00,188.1492367248222,33.361473785062174,10
28,280.00,92.0,372.00,205.85396457992908,36.01189924392206,10
29,290.00,241.0,531.00,210.87432860943795,25.47606920915682,10
3,30.00,266.0,296.00,183.1269793820796,28.26043925336924,5
30,300.00,277.0,577.00,181.06689814038404,28.794632047700446,5
31,310.00,102.0,412.00,213.16702211954947,21.325206178439743,3
32,320.00,164.0,484.00,201.52242075037546,26.29626264669177,10
33,330.00,199.0,529.00,154.98227567885377,31.707936979720685,5
34,340.00,278.0,618.00,187.07096700521657,32.31179167157809,10
35,350.00,374.0,724.00,174.03701850658234,32.100765368108796,10
36,360.00,498.0,858.00,156.38098242467285,34.91210781500087,10
37,370.00,484.0,854.00,184.5570153258357,28.120861525091044,5
38,380.00,220.0,600.00,172.40155109216485,27.555191084108955,10
39,390.00,521.0,911.00,148.7125949163546,26.962886238639424,10
4,40.00,202.0,242.00,185.32890682357748,27.96988131838541,10
40,400.00,329.0,729.00,144.63304198426778,26.496551211893014,10
41,410.00,160.0,570.00,182.5382418540724,34.86489956902657,10
42,420.00,170.0,590.00,205.82755841111316,37.40257395717212,5
43,430.00,119.0,549.00,217.91778352061166,37.441260968978,5
44,440.00,205.0,645.00,137.5497597822646,32.69624595645909,10
45,450.00,263.0,713.00,170.56791332904348,30.97749667637664,3
46,460.00,243.0,703.00,195.99523290329813,26.682608568189462,3
47,470.00,244.0,714.00,174.8574452391533,18.52931260600291,3
49,491.00,64.0,555.00,185.9176864243462,29.100375820938247,10
5,50.00,151.0,201.00,144.76696664328972,29.134652018425474,10
50,500.00,227.0,727.00,188.48824917656628,33.656329621921955,5
51,510.00,283.0,793.00,169.05672399148384,26.99145700887967,5
52,520.00,345.0,865.00,201.99319191774225,26.468775351053576,5
53,530.00,171.0,701.00,163.4712292268197,26.2762258897578,10
54,540.00,134.0,674.00,180.00279223924278,32.06949988321279,3
55,550.00,136.0,686.00,187.94434793271023,33.17515718446053,5
48,553.00,211.0,764.00,159.3151431643107,33.64620845371733,5
56,560.00,206.0,766.00,173.91440816558656,32.138482850479704,10
57,570.00,104.0,674.00,188.78783402529075,22.543712036471973,10
58,580.00,303.0,883.00,200.65831357890042,31.934564191711605,10
59,590.00,102.0,692.00,147.57825007057585,25.613183391040312,10
6,60.00,436.0,496.00,181.03890791592278,25.46350817808379,5
60,600.00,336.0,936.00,175.6552953273768,26.18043163886249,5
61,610.00,293.0,903.00,187.237917714564,27.667904516320284,10
62,620.00,206.0,826.00,157.912333211431,33.79466077605951,10
63,630.00,221.0,851.00,135.63278486872173,32.43829714579055,10
65,650.00,186.0,836.00,216.89032980836922,28.33793103540645,10
66,660.00,301.0,961.00,171.80566165309074,33.90599050854997,5
67,670.00,303.0,973.00,162.271874640657,24.686025396097353,3
68,680.00,174.0,854.00,189.85518782831593,26.011000574312032,10
69,690.00,182.0,872.00,153.16841692102534,30.26112502275208,5
7,70.00,164.0,234.00,189.68624308241328,36.83439683463388,5
70,700.00,292.0,992.00,175.72725985550545,27.701097381521354,5
71,710.00,223.0,933.00,202.75653731260903,26.536147117124656,10
73,730.00,163.0,893.00,186.34436430382604,34.55089454046296,5
74,740.00,174.0,914.00,208.63680454767183,26.922178619585686,10
8,80.00,689.0,769.00,141.98831477513397,29.583309182421402,10
81,810.00,183.0,993.00,167.08264585817227,31.249502251467785,10
83,830.00,121.0,951.00,188.3210009252285,27.28569261991641,10
9,90.00,144.0,234.00,177.51898671217307,37.07188593885985,3
