id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
0,0.00,78.0,78.00,174.17212047977134,30.365207110815682,10,3,0.6087
1,10.00,219.0,229.00,198.14691885488045,29.436005395591366,5,4,0.4380333333333334
10,100.00,99.0,199.00,193.0723719088072,17.235050920829607,5,1,0.6093466666666666
11,110.00,172.0,282.00,156.5896910147369,36.313577418943595,5,4,0.5538133333333333
12,120.00,127.0,247.00,158.28398809048744,31.145489741691335,5,4,0.5603066666666666
13,130.00,342.0,472.00,168.2836963516061,34.012281978981974,10,3,0.37174666666666667
14,140.00,168.0,308.00,166.42445221090438,28.17832844032844,10,3,0.5572466666666666
15,150.00,193.0,343.00,187.62327488870747,25.80834517233945,10,3,0.5792933333333332
16,160.00,288.0,448.00,174.884186188346,22.549442938174877,10,1,0.43673333333333336
17,170.00,87.0,257.00,178.39325488475856,28.94023871823958,10,1,0.6390066666666666
18,180.00,297.0,477.00,180.63572303458767,23.632553073478114,10,4,0.5612999999999999
19,190.00,362.0,552.00,167.12763194334218,22.570480706761053,10,4,0.5508533333333333
2,20.00,4.0,24.00,186.05610439106164,35.613974594145645,10,3,0.5731533333333333
20,200.00,377.0,577.00,198.58798866253068,24.070404088314035,5,3,0.5771266666666666
21,210.00,225.0,435.00,162.63294854339432,38.63819560083399,10,1,0.43392000000000003
22,220.00,221.0,441.00,154.46022025948372,35.15407973834766,5,4,0.5074
23,230.00,100.0,330.00,147.39603306067912,26.29626264669177,10,4,0.5718799999999999
24,240.00,265.0,505.00,190.78498382583635,26.150419627773417,10,1,0.39642
25,250.00,386.0,636.00,169.90207583401752,25.652038301743893,10,4,0.51074
26,260.00,253.0,513.00,170.76830790370582,23.420462947442395,10,4,0.5667533333333332
27,270.00,102.0,372.00,171.67777035134318,35.08940024858642,10,3,0.36824666666666667
28,280.00,270.0,550.00,197.16475570709514,25.426223349505705,10,4,0.5479666666666666
29,290.00,240.0,530.00,193.02418691684707,18.52931260600291,10,3,0.4850933333333333
3,30.00,228.0,258.00,145.30082471375897,30.593032926168068,3,3,0.6259933333333333
30,300.00,183.0,483.00,179.5304094853088,31.767741751304143,10,4,0.49596666666666667
31,310.00,220.0,530.00,202.31876908246159,26.11326672118941,5,4,0.5626533333333332
32,320.00,186.0,506.00,167.28307843242237,30.159152791371756,5,2,0.36490666666666666
33,330.00,123.0,453.00,218.20129906198068,25.693871574726487,10,2,0.57812
34,340.00,176.0,516.00,178.03094951149134,38.56671360824683,10,4,0.4897333333333333
35,350.00,172.0,522.00,170.56791332904348,30.97749667637664,3,2,0.5453933333333333
36,360.00,80.0,440.00,169.24429762873547,24.50128993682616,10,2,0.62274
37,370.00,176.0,546.00,172.31628638003755,21.162831743054255,5,1,0.5189333333333334
38,380.00,341.0,721.00,179.86825332683907,36.10199339894315,5,4,0.44995333333333337
39,390.00,329.0,719.00,216.65275714734008,31.934564191711605,10,4,0.6196866666666666
4,40.00,343.0,383.00,200.2415810665675,24.746210215069716,3,3,0.37356
40,400.00,109.0,509.00,210.1167672557063,30.0006980598107,10,4,0.37440666666666667
43,430.00,270.0,700.00,153.16841692102534,30.26112502275208,5,1,0.6339733333333333
44,440.00,515.0,955.00,151.24417052396842,26.179280380467784,5,1,0.45228
45,450.00,291.0,741.00,147.89411866944536,26.074567342933648,5,1,0.5128866666666666
46,460.00,180.0,640.00,184.5570153258357,28.120861525091044,5,1,0.5552666666666666
47,470.00,333.0,803.00,180.393074873514,25.649120143256933,10,4,0.38878
48,480.00,30.0,510.00,196.38870067738958,28.819784247111105,10,3,0.44640666666666673
49,490.00,374.0,864.00,200.3748287380036,29.419480304828166,10,4,0.5659333333333333
5,50.00,122.0,172.00,201.61623826110892,42.726003892355266,10,1,0.36466
50,500.00,255.0,755.00,166.14458846849863,20.289049383761956,5,2,0.62068
51,510.00,170.0,680.00,160.04864922323915,26.011000574312032,10,2,0.6160333333333333
52,520.00,346.0,866.00,162.80976198296335,29.220975940911675,2,4,0.37378666666666666
53,530.00,240.0,770.00,193.53816070060492,32.1312936538905,10,2,0.3793066666666667
54,540.00,219.0,759.00,200.11098418009476,31.62342705986157,5,3,0.60958
55,550.00,266.0,816.00,186.9296160126486,33.039208439725286,10,3,0.5787266666666666
56,560.00,389.0,949.00,199.7597819381519,32.8018466610069,10,4,0.36476666666666663
57,570.00,303.0,873.00,187.40111775695038,28.002754853685623,10,2,0.48516
58,580.00,145.0,725.00,171.522075327985,26.68010335962395,10,4,0.45045333333333337
59,590.00,346.0,936.00,198.0010308779366,25.54542458502236,10,1,0.43556000000000006
6,60.00,152.0,212.00,162.36398901333263,26.28917489796779,10,2,0.36904
60,600.00,365.0,965.00,193.04245000361357,26.552754077250313,10,1,0.6141133333333333
61,610.00,145.0,755.00,190.60033513113,28.913823831844194,10,2,0.6299866666666667
62,620.00,319.0,939.00,172.6616464371938,30.998091771807168,3,4,0.6087266666666666
63,630.00,204.0,834.00,183.77557193587657,20.318600970767463,5,4,0.45416
64,640.00,157.0,797.00,202.87335529654766,28.01364092835601,10,4,0.6117266666666666
65,650.00,267.0,917.00,155.38813766638958,28.069856144855862,10,1,0.6100133333333333
67,670.00,315.0,985.00,179.6863577679489,43.924665324118386,10,1,0.5033533333333333
68,680.00,170.0,850.00,187.9809269128026,30.442110435223306,10,4,0.42462000000000005
69,691.00,249.0,940.00,169.62531868987884,35.39289550731826,10,1,0.5716133333333333
7,70.00,229.0,299.00,180.53738496779704,26.50031307470863,5,2,0.37748666666666664
74,740.00,121.0,861.00,172.18093249624798,26.7379570880649,10,1,0.44233333333333336
77,770.00,163.0,933.00,163.74014022891845,26.401978057241035,10,2,0.42414
78,780.00,89.0,869.00,180.40627288296457,25.777575322421786,10,3,0.4439133333333334
8,80.00,119.0,199.00,209.88158146315212,32.89570239353364,10,2,0.3862466666666666
80,800.00,170.0,970.00,185.15284543464688,23.05456105879381,5,1,0.5444933333333333
81,810.00,187.0,997.00,157.43977337059985,28.661332315530167,10,1,0.6099
82,820.00,117.0,937.00,210.48300608209058,25.048656480963917,5,2,0.5763333333333333
84,840.00,81.0,921.00,214.7255878596057,27.41018656933736,2,2,0.5692066666666666
85,850.00,57.0,907.00,198.61919765547066,38.29065339809094,5,1,0.37126666666666663
9,90.00,318.0,408.00,203.575591423193,27.989425553999567,10,3,0.5781066666666665
